abbreviation,location,location_name,population
US,US,US,332200066
AL,01,Alabama,5063778
AK,02,Alaska,711426
AZ,04,Arizona,7341018
AR,05,Arkansas,3041878
CA,06,California,38886551
CO,08,Colorado,5803748
CT,09,Connecticut,3621089
DE,10,Delaware,1014872
DC,11,District of Columbia,668576
FL,12,Florida,22183852
GA,13,Georgia,10855454
HI,15,Hawaii,1398977
ID,16,Idaho,1935521
IL,17,Illinois,12563096
IN,18,Indiana,6831941
IA,19,Iowa,3200224
KS,20,Kansas,2916451
KY,21,Kentucky,4494379
LA,22,Louisiana,4575074
ME,23,Maine,1384543
MD,24,Maryland,6133130
MA,25,Massachusetts,6978662
MI,26,Michigan,10032075
MN,27,Minnesota,5716548
MS,28,Mississippi,2927305
MO,29,Missouri,6164537
MT,30,Montana,1119563
NE,31,Nebraska,1961505
NV,32,Nevada,3165539
NH,33,New Hampshire,1394692
NJ,34,New Jersey,9254137
NM,35,New Mexico,2100079
NY,36,New York,19657190
NC,37,North Carolina,10596562
ND,38,North Dakota,772061
OH,39,Ohio,11749303
OK,40,Oklahoma,4001266
OR,41,Oregon,4238665
PA,42,Pennsylvania,12969276
RI,44,Rhode Island,1090390
SC,45,South Carolina,5246039
SD,46,South Dakota,906458
TN,47,Tennessee,7030607
TX,48,Texas,29914599
UT,49,Utah,3376238
VT,50,Vermont,646910
VA,51,Virginia,8583866
WA,53,Washington,7735834
WV,54,West Virginia,1774977
WI,55,Wisconsin,5891022
WY,56,Wyoming,578583
PR,72,Puerto Rico,3221789
