model,date,location,horizon,prediction,true_value,quantile
covid,2022-09-17,Alabama,1,380,443,0.025
covid,2022-09-17,Alabama,1,486,443,0.25
covid,2022-09-17,Alabama,1,550,443,0.5
covid,2022-09-17,Alabama,1,623,443,0.75
covid,2022-09-17,Alabama,1,797,443,0.975
covid,2022-09-24,Alabama,2,320,323,0.025
covid,2022-09-24,Alabama,2,447,323,0.25
covid,2022-09-24,Alabama,2,532,323,0.5
covid,2022-09-24,Alabama,2,635,323,0.75
covid,2022-09-24,Alabama,2,886,323,0.975
covid,2022-10-01,Alabama,3,276,289,0.025
covid,2022-10-01,Alabama,3,412,289,0.25
covid,2022-10-01,Alabama,3,509,289,0.5
covid,2022-10-01,Alabama,3,628,289,0.75
covid,2022-10-01,Alabama,3,943,289,0.975
covid,2022-10-08,Alabama,4,246,274,0.025
covid,2022-10-08,Alabama,4,390,274,0.25
covid,2022-10-08,Alabama,4,490,274,0.5
covid,2022-10-08,Alabama,4,629,274,0.75
covid,2022-10-08,Alabama,4,982,274,0.975
covid,2022-09-17,Alaska,1,32,53,0.025
covid,2022-09-17,Alaska,1,52,53,0.25
covid,2022-09-17,Alaska,1,65,53,0.5
covid,2022-09-17,Alaska,1,83,53,0.75
covid,2022-09-17,Alaska,1,132,53,0.975
covid,2022-09-24,Alaska,2,25,40,0.025
covid,2022-09-24,Alaska,2,46,40,0.25
covid,2022-09-24,Alaska,2,64,40,0.5
covid,2022-09-24,Alaska,2,86,40,0.75
covid,2022-09-24,Alaska,2,156,40,0.975
covid,2022-10-01,Alaska,3,20,44,0.025
covid,2022-10-01,Alaska,3,42,44,0.25
covid,2022-10-01,Alaska,3,61,44,0.5
covid,2022-10-01,Alaska,3,87,44,0.75
covid,2022-10-01,Alaska,3,180,44,0.975
covid,2022-10-08,Alaska,4,16,32,0.025
covid,2022-10-08,Alaska,4,39,32,0.25
covid,2022-10-08,Alaska,4,58,32,0.5
covid,2022-10-08,Alaska,4,88,32,0.75
covid,2022-10-08,Alaska,4,195,32,0.975
covid,2022-09-17,Arizona,1,267,314,0.025
covid,2022-09-17,Arizona,1,342,314,0.25
covid,2022-09-17,Arizona,1,388,314,0.5
covid,2022-09-17,Arizona,1,440,314,0.75
covid,2022-09-17,Arizona,1,556,314,0.975
covid,2022-09-24,Arizona,2,231,294,0.025
covid,2022-09-24,Arizona,2,321,294,0.25
covid,2022-09-24,Arizona,2,380,294,0.5
covid,2022-09-24,Arizona,2,453,294,0.75
covid,2022-09-24,Arizona,2,626,294,0.975
covid,2022-10-01,Arizona,3,209,296,0.025
covid,2022-10-01,Arizona,3,307,296,0.25
covid,2022-10-01,Arizona,3,375,296,0.5
covid,2022-10-01,Arizona,3,460,296,0.75
covid,2022-10-01,Arizona,3,676,296,0.975
covid,2022-10-08,Arizona,4,188,289,0.025
covid,2022-10-08,Arizona,4,294,289,0.25
covid,2022-10-08,Arizona,4,367,289,0.5
covid,2022-10-08,Arizona,4,464,289,0.75
covid,2022-10-08,Arizona,4,710,289,0.975
covid,2022-09-17,Arkansas,1,208,327,0.025
covid,2022-09-17,Arkansas,1,266,327,0.25
covid,2022-09-17,Arkansas,1,300,327,0.5
covid,2022-09-17,Arkansas,1,337,327,0.75
covid,2022-09-17,Arkansas,1,423,327,0.975
covid,2022-09-24,Arkansas,2,180,276,0.025
covid,2022-09-24,Arkansas,2,246,276,0.25
covid,2022-09-24,Arkansas,2,292,276,0.5
covid,2022-09-24,Arkansas,2,344,276,0.75
covid,2022-09-24,Arkansas,2,468,276,0.975
covid,2022-10-01,Arkansas,3,156,235,0.025
covid,2022-10-01,Arkansas,3,229,235,0.25
covid,2022-10-01,Arkansas,3,281,235,0.5
covid,2022-10-01,Arkansas,3,346,235,0.75
covid,2022-10-01,Arkansas,3,506,235,0.975
covid,2022-10-08,Arkansas,4,140,179,0.025
covid,2022-10-08,Arkansas,4,218,179,0.25
covid,2022-10-08,Arkansas,4,273,179,0.5
covid,2022-10-08,Arkansas,4,346,179,0.75
covid,2022-10-08,Arkansas,4,527,179,0.975
covid,2022-09-17,California,1,2159,2881,0.025
covid,2022-09-17,California,1,2772,2881,0.25
covid,2022-09-17,California,1,3130,2881,0.5
covid,2022-09-17,California,1,3558,2881,0.75
covid,2022-09-17,California,1,4522,2881,0.975
covid,2022-09-24,California,2,1788,2300,0.025
covid,2022-09-24,California,2,2517,2300,0.25
covid,2022-09-24,California,2,3008,2300,0.5
covid,2022-09-24,California,2,3608,2300,0.75
covid,2022-09-24,California,2,5072,2300,0.975
covid,2022-10-01,California,3,1547,2172,0.025
covid,2022-10-01,California,3,2330,2172,0.25
covid,2022-10-01,California,3,2887,2172,0.5
covid,2022-10-01,California,3,3622,2172,0.75
covid,2022-10-01,California,3,5455,2172,0.975
covid,2022-10-08,California,4,1330,2041,0.025
covid,2022-10-08,California,4,2181,2041,0.25
covid,2022-10-08,California,4,2772,2041,0.5
covid,2022-10-08,California,4,3563,2041,0.75
covid,2022-10-08,California,4,5671,2041,0.975
covid,2022-09-17,Colorado,1,217,321,0.025
covid,2022-09-17,Colorado,1,276,321,0.25
covid,2022-09-17,Colorado,1,310,321,0.5
covid,2022-09-17,Colorado,1,351,321,0.75
covid,2022-09-17,Colorado,1,439,321,0.975
covid,2022-09-24,Colorado,2,189,265,0.025
covid,2022-09-24,Colorado,2,258,265,0.25
covid,2022-09-24,Colorado,2,305,265,0.5
covid,2022-09-24,Colorado,2,360,265,0.75
covid,2022-09-24,Colorado,2,488,265,0.975
covid,2022-10-01,Colorado,3,171,271,0.025
covid,2022-10-01,Colorado,3,243,271,0.25
covid,2022-10-01,Colorado,3,298,271,0.5
covid,2022-10-01,Colorado,3,362,271,0.75
covid,2022-10-01,Colorado,3,525,271,0.975
covid,2022-10-08,Colorado,4,150,236,0.025
covid,2022-10-08,Colorado,4,234,236,0.25
covid,2022-10-08,Colorado,4,292,236,0.5
covid,2022-10-08,Colorado,4,363,236,0.75
covid,2022-10-08,Colorado,4,555,236,0.975
covid,2022-09-17,Connecticut,1,241,412,0.025
covid,2022-09-17,Connecticut,1,320,412,0.25
covid,2022-09-17,Connecticut,1,368,412,0.5
covid,2022-09-17,Connecticut,1,420,412,0.75
covid,2022-09-17,Connecticut,1,546,412,0.975
covid,2022-09-24,Connecticut,2,202,515,0.025
covid,2022-09-24,Connecticut,2,291,515,0.25
covid,2022-09-24,Connecticut,2,351,515,0.5
covid,2022-09-24,Connecticut,2,425,515,0.75
covid,2022-09-24,Connecticut,2,614,515,0.975
covid,2022-10-01,Connecticut,3,171,498,0.025
covid,2022-10-01,Connecticut,3,267,498,0.25
covid,2022-10-01,Connecticut,3,338,498,0.5
covid,2022-10-01,Connecticut,3,424,498,0.75
covid,2022-10-01,Connecticut,3,668,498,0.975
covid,2022-10-08,Connecticut,4,150,504,0.025
covid,2022-10-08,Connecticut,4,248,504,0.25
covid,2022-10-08,Connecticut,4,326,504,0.5
covid,2022-10-08,Connecticut,4,417,504,0.75
covid,2022-10-08,Connecticut,4,692,504,0.975
covid,2022-09-17,Delaware,1,72,94,0.025
covid,2022-09-17,Delaware,1,98,94,0.25
covid,2022-09-17,Delaware,1,114,94,0.5
covid,2022-09-17,Delaware,1,132,94,0.75
covid,2022-09-17,Delaware,1,175,94,0.975
covid,2022-09-24,Delaware,2,60,111,0.025
covid,2022-09-24,Delaware,2,90,111,0.25
covid,2022-09-24,Delaware,2,109,111,0.5
covid,2022-09-24,Delaware,2,133,111,0.75
covid,2022-09-24,Delaware,2,193,111,0.975
covid,2022-10-01,Delaware,3,52,125,0.025
covid,2022-10-01,Delaware,3,82,125,0.25
covid,2022-10-01,Delaware,3,105,125,0.5
covid,2022-10-01,Delaware,3,132,125,0.75
covid,2022-10-01,Delaware,3,206,125,0.975
covid,2022-10-08,Delaware,4,45,118,0.025
covid,2022-10-08,Delaware,4,77,118,0.25
covid,2022-10-08,Delaware,4,101,118,0.5
covid,2022-10-08,Delaware,4,131,118,0.75
covid,2022-10-08,Delaware,4,212,118,0.975
covid,2022-09-17,District of Columbia,1,63,97,0.025
covid,2022-09-17,District of Columbia,1,87,97,0.25
covid,2022-09-17,District of Columbia,1,102,97,0.5
covid,2022-09-17,District of Columbia,1,119,97,0.75
covid,2022-09-17,District of Columbia,1,160,97,0.975
covid,2022-09-24,District of Columbia,2,52,87,0.025
covid,2022-09-24,District of Columbia,2,79,87,0.25
covid,2022-09-24,District of Columbia,2,98,87,0.5
covid,2022-09-24,District of Columbia,2,120,87,0.75
covid,2022-09-24,District of Columbia,2,176,87,0.975
covid,2022-10-01,District of Columbia,3,44,95,0.025
covid,2022-10-01,District of Columbia,3,72,95,0.25
covid,2022-10-01,District of Columbia,3,94,95,0.5
covid,2022-10-01,District of Columbia,3,119,95,0.75
covid,2022-10-01,District of Columbia,3,190,95,0.975
covid,2022-10-08,District of Columbia,4,37,71,0.025
covid,2022-10-08,District of Columbia,4,67,71,0.25
covid,2022-10-08,District of Columbia,4,90,71,0.5
covid,2022-10-08,District of Columbia,4,118,71,0.75
covid,2022-10-08,District of Columbia,4,199,71,0.975
covid,2022-09-17,Florida,1,1948,2714,0.025
covid,2022-09-17,Florida,1,2562,2714,0.25
covid,2022-09-17,Florida,1,2928,2714,0.5
covid,2022-09-17,Florida,1,3365,2714,0.75
covid,2022-09-17,Florida,1,4380,2714,0.975
covid,2022-09-24,Florida,2,1617,2346,0.025
covid,2022-09-24,Florida,2,2326,2346,0.25
covid,2022-09-24,Florida,2,2798,2346,0.5
covid,2022-09-24,Florida,2,3408,2346,0.75
covid,2022-09-24,Florida,2,4924,2346,0.975
covid,2022-10-01,Florida,3,1394,1832,0.025
covid,2022-10-01,Florida,3,2121,1832,0.25
covid,2022-10-01,Florida,3,2692,1832,0.5
covid,2022-10-01,Florida,3,3404,1832,0.75
covid,2022-10-01,Florida,3,5329,1832,0.975
covid,2022-10-08,Florida,4,1211,1446,0.025
covid,2022-10-08,Florida,4,1982,1446,0.25
covid,2022-10-08,Florida,4,2572,1446,0.5
covid,2022-10-08,Florida,4,3394,1446,0.75
covid,2022-10-08,Florida,4,5750,1446,0.975
covid,2022-09-17,Georgia,1,720,932,0.025
covid,2022-09-17,Georgia,1,908,932,0.25
covid,2022-09-17,Georgia,1,1030,932,0.5
covid,2022-09-17,Georgia,1,1156,932,0.75
covid,2022-09-17,Georgia,1,1454,932,0.975
covid,2022-09-24,Georgia,2,611,750,0.025
covid,2022-09-24,Georgia,2,845,750,0.25
covid,2022-09-24,Georgia,2,992,750,0.5
covid,2022-09-24,Georgia,2,1175,750,0.75
covid,2022-09-24,Georgia,2,1631,750,0.975
covid,2022-10-01,Georgia,3,535,594,0.025
covid,2022-10-01,Georgia,3,781,594,0.25
covid,2022-10-01,Georgia,3,958,594,0.5
covid,2022-10-01,Georgia,3,1186,594,0.75
covid,2022-10-01,Georgia,3,1738,594,0.975
covid,2022-10-08,Georgia,4,473,528,0.025
covid,2022-10-08,Georgia,4,743,528,0.25
covid,2022-10-08,Georgia,4,941,528,0.5
covid,2022-10-08,Georgia,4,1191,528,0.75
covid,2022-10-08,Georgia,4,1832,528,0.975
covid,2022-09-17,Hawaii,1,79,101,0.025
covid,2022-09-17,Hawaii,1,121,101,0.25
covid,2022-09-17,Hawaii,1,152,101,0.5
covid,2022-09-17,Hawaii,1,188,101,0.75
covid,2022-09-17,Hawaii,1,286,101,0.975
covid,2022-09-24,Hawaii,2,58,129,0.025
covid,2022-09-24,Hawaii,2,105,129,0.25
covid,2022-09-24,Hawaii,2,140,129,0.5
covid,2022-09-24,Hawaii,2,189,129,0.75
covid,2022-09-24,Hawaii,2,352,129,0.975
covid,2022-10-01,Hawaii,3,44,123,0.025
covid,2022-10-01,Hawaii,3,91,123,0.25
covid,2022-10-01,Hawaii,3,133,123,0.5
covid,2022-10-01,Hawaii,3,190,123,0.75
covid,2022-10-01,Hawaii,3,370,123,0.975
covid,2022-10-08,Hawaii,4,37,115,0.025
covid,2022-10-08,Hawaii,4,84,115,0.25
covid,2022-10-08,Hawaii,4,126,115,0.5
covid,2022-10-08,Hawaii,4,188,115,0.75
covid,2022-10-08,Hawaii,4,401,115,0.975
covid,2022-09-17,Idaho,1,91,125,0.025
covid,2022-09-17,Idaho,1,118,125,0.25
covid,2022-09-17,Idaho,1,135,125,0.5
covid,2022-09-17,Idaho,1,153,125,0.75
covid,2022-09-17,Idaho,1,195,125,0.975
covid,2022-09-24,Idaho,2,78,122,0.025
covid,2022-09-24,Idaho,2,110,122,0.25
covid,2022-09-24,Idaho,2,131,122,0.5
covid,2022-09-24,Idaho,2,155,122,0.75
covid,2022-09-24,Idaho,2,217,122,0.975
covid,2022-10-01,Idaho,3,66,125,0.025
covid,2022-10-01,Idaho,3,102,125,0.25
covid,2022-10-01,Idaho,3,127,125,0.5
covid,2022-10-01,Idaho,3,154,125,0.75
covid,2022-10-01,Idaho,3,229,125,0.975
covid,2022-10-08,Idaho,4,61,106,0.025
covid,2022-10-08,Idaho,4,97,106,0.25
covid,2022-10-08,Idaho,4,122,106,0.5
covid,2022-10-08,Idaho,4,155,106,0.75
covid,2022-10-08,Idaho,4,236,106,0.975
covid,2022-09-17,Illinois,1,950,1206,0.025
covid,2022-09-17,Illinois,1,1191,1206,0.25
covid,2022-09-17,Illinois,1,1329,1206,0.5
covid,2022-09-17,Illinois,1,1490,1206,0.75
covid,2022-09-17,Illinois,1,1855,1206,0.975
covid,2022-09-24,Illinois,2,807,1129,0.025
covid,2022-09-24,Illinois,2,1093,1129,0.25
covid,2022-09-24,Illinois,2,1280,1129,0.5
covid,2022-09-24,Illinois,2,1502,1129,0.75
covid,2022-09-24,Illinois,2,2009,1129,0.975
covid,2022-10-01,Illinois,3,698,909,0.025
covid,2022-10-01,Illinois,3,1016,909,0.25
covid,2022-10-01,Illinois,3,1233,909,0.5
covid,2022-10-01,Illinois,3,1490,909,0.75
covid,2022-10-01,Illinois,3,2143,909,0.975
covid,2022-10-08,Illinois,4,611,968,0.025
covid,2022-10-08,Illinois,4,950,968,0.25
covid,2022-10-08,Illinois,4,1188,968,0.5
covid,2022-10-08,Illinois,4,1484,968,0.75
covid,2022-10-08,Illinois,4,2233,968,0.975
covid,2022-09-17,Indiana,1,426,530,0.025
covid,2022-09-17,Indiana,1,549,530,0.25
covid,2022-09-17,Indiana,1,618,530,0.5
covid,2022-09-17,Indiana,1,698,530,0.75
covid,2022-09-17,Indiana,1,880,530,0.975
covid,2022-09-24,Indiana,2,366,468,0.025
covid,2022-09-24,Indiana,2,507,468,0.25
covid,2022-09-24,Indiana,2,602,468,0.5
covid,2022-09-24,Indiana,2,713,468,0.75
covid,2022-09-24,Indiana,2,979,468,0.975
covid,2022-10-01,Indiana,3,312,355,0.025
covid,2022-10-01,Indiana,3,472,355,0.25
covid,2022-10-01,Indiana,3,582,355,0.5
covid,2022-10-01,Indiana,3,717,355,0.75
