model,date,location,horizon,prediction,true_value,quantile
flu,2022-09-17,Alabama,1,5,17,0.025
flu,2022-09-17,Alabama,1,10,17,0.25
flu,2022-09-17,Alabama,1,14,17,0.5
flu,2022-09-17,Alabama,1,19,17,0.75
flu,2022-09-17,Alabama,1,32,17,0.975
flu,2022-09-24,Alabama,2,4,19,0.025
flu,2022-09-24,Alabama,2,10,19,0.25
flu,2022-09-24,Alabama,2,14,19,0.5
flu,2022-09-24,Alabama,2,20,19,0.75
flu,2022-09-24,Alabama,2,37,19,0.975
flu,2022-10-01,Alabama,3,4,23,0.025
flu,2022-10-01,Alabama,3,10,23,0.25
flu,2022-10-01,Alabama,3,15,23,0.5
flu,2022-10-01,Alabama,3,21,23,0.75
flu,2022-10-01,Alabama,3,43,23,0.975
flu,2022-10-08,Alabama,4,3,38,0.025
flu,2022-10-08,Alabama,4,10,38,0.25
flu,2022-10-08,Alabama,4,15,38,0.5
flu,2022-10-08,Alabama,4,23,38,0.75
flu,2022-10-08,Alabama,4,50,38,0.975
flu,2022-09-17,Alaska,1,0,0,0.025
flu,2022-09-17,Alaska,1,1,0,0.25
flu,2022-09-17,Alaska,1,2,0,0.5
flu,2022-09-17,Alaska,1,4,0,0.75
flu,2022-09-17,Alaska,1,10,0,0.975
flu,2022-09-24,Alaska,2,0,0,0.025
flu,2022-09-24,Alaska,2,1,0,0.25
flu,2022-09-24,Alaska,2,2,0,0.5
flu,2022-09-24,Alaska,2,4,0,0.75
flu,2022-09-24,Alaska,2,12,0,0.975
flu,2022-10-01,Alaska,3,0,2,0.025
flu,2022-10-01,Alaska,3,1,2,0.25
flu,2022-10-01,Alaska,3,2,2,0.5
flu,2022-10-01,Alaska,3,5,2,0.75
flu,2022-10-01,Alaska,3,15,2,0.975
flu,2022-10-08,Alaska,4,0,0,0.025
flu,2022-10-08,Alaska,4,1,0,0.25
flu,2022-10-08,Alaska,4,2,0,0.5
flu,2022-10-08,Alaska,4,5,0,0.75
flu,2022-10-08,Alaska,4,18,0,0.975
flu,2022-09-17,Arizona,1,3,7,0.025
flu,2022-09-17,Arizona,1,7,7,0.25
flu,2022-09-17,Arizona,1,10,7,0.5
flu,2022-09-17,Arizona,1,14,7,0.75
flu,2022-09-17,Arizona,1,23,7,0.975
flu,2022-09-24,Arizona,2,3,9,0.025
flu,2022-09-24,Arizona,2,7,9,0.25
flu,2022-09-24,Arizona,2,10,9,0.5
flu,2022-09-24,Arizona,2,15,9,0.75
flu,2022-09-24,Arizona,2,27,9,0.975
flu,2022-10-01,Arizona,3,3,10,0.025
flu,2022-10-01,Arizona,3,7,10,0.25
flu,2022-10-01,Arizona,3,11,10,0.5
flu,2022-10-01,Arizona,3,16,10,0.75
flu,2022-10-01,Arizona,3,31,10,0.975
flu,2022-10-08,Arizona,4,2,18,0.025
flu,2022-10-08,Arizona,4,7,18,0.25
flu,2022-10-08,Arizona,4,12,18,0.5
flu,2022-10-08,Arizona,4,18,18,0.75
flu,2022-10-08,Arizona,4,35,18,0.975
flu,2022-09-17,Arkansas,1,1,5,0.025
flu,2022-09-17,Arkansas,1,4,5,0.25
flu,2022-09-17,Arkansas,1,6,5,0.5
flu,2022-09-17,Arkansas,1,9,5,0.75
flu,2022-09-17,Arkansas,1,15,5,0.975
flu,2022-09-24,Arkansas,2,1,7,0.025
flu,2022-09-24,Arkansas,2,4,7,0.25
flu,2022-09-24,Arkansas,2,6,7,0.5
flu,2022-09-24,Arkansas,2,9,7,0.75
flu,2022-09-24,Arkansas,2,17,7,0.975
flu,2022-10-01,Arkansas,3,1,10,0.025
flu,2022-10-01,Arkansas,3,4,10,0.25
flu,2022-10-01,Arkansas,3,7,10,0.5
flu,2022-10-01,Arkansas,3,10,10,0.75
flu,2022-10-01,Arkansas,3,19,10,0.975
