model,date,location,horizon,prediction,true_value,quantile
rsv_2018,2022-09-17,California,1,1,7,0.025
rsv_2018,2022-09-17,California,1,4,7,0.25
rsv_2018,2022-09-17,California,1,6,7,0.5
rsv_2018,2022-09-17,California,1,8,7,0.75
rsv_2018,2022-09-17,California,1,15,7,0.975
rsv_2018,2022-09-24,California,2,1,10,0.025
rsv_2018,2022-09-24,California,2,3,10,0.25
rsv_2018,2022-09-24,California,2,6,10,0.5
rsv_2018,2022-09-24,California,2,9,10,0.75
rsv_2018,2022-09-24,California,2,18,10,0.975
rsv_2018,2022-10-01,California,3,1,21,0.025
rsv_2018,2022-10-01,California,3,3,21,0.25
rsv_2018,2022-10-01,California,3,6,21,0.5
rsv_2018,2022-10-01,California,3,9,21,0.75
rsv_2018,2022-10-01,California,3,21,21,0.975
rsv_2018,2022-10-08,California,4,1,14,0.025
rsv_2018,2022-10-08,California,4,3,14,0.25
rsv_2018,2022-10-08,California,4,6,14,0.5
rsv_2018,2022-10-08,California,4,10,14,0.75
rsv_2018,2022-10-08,California,4,24,14,0.975
rsv_2018,2022-09-17,Colorado,1,1,14,0.025
rsv_2018,2022-09-17,Colorado,1,4,14,0.25
rsv_2018,2022-09-17,Colorado,1,6,14,0.5
rsv_2018,2022-09-17,Colorado,1,9,14,0.75
rsv_2018,2022-09-17,Colorado,1,16,14,0.975
rsv_2018,2022-09-24,Colorado,2,1,23,0.025
rsv_2018,2022-09-24,Colorado,2,4,23,0.25
rsv_2018,2022-09-24,Colorado,2,6,23,0.5
rsv_2018,2022-09-24,Colorado,2,9,23,0.75
rsv_2018,2022-09-24,Colorado,2,19,23,0.975
rsv_2018,2022-10-01,Colorado,3,1,26,0.025
rsv_2018,2022-10-01,Colorado,3,4,26,0.25
rsv_2018,2022-10-01,Colorado,3,6,26,0.5
rsv_2018,2022-10-01,Colorado,3,10,26,0.75
rsv_2018,2022-10-01,Colorado,3,22,26,0.975
rsv_2018,2022-10-08,Colorado,4,1,48,0.025
rsv_2018,2022-10-08,Colorado,4,4,48,0.25
rsv_2018,2022-10-08,Colorado,4,7,48,0.5
rsv_2018,2022-10-08,Colorado,4,11,48,0.75
rsv_2018,2022-10-08,Colorado,4,27,48,0.975
rsv_2018,2022-09-17,Connecticut,1,1,3,0.025
rsv_2018,2022-09-17,Connecticut,1,4,3,0.25
rsv_2018,2022-09-17,Connecticut,1,6,3,0.5
rsv_2018,2022-09-17,Connecticut,1,8,3,0.75
rsv_2018,2022-09-17,Connecticut,1,16,3,0.975
rsv_2018,2022-09-24,Connecticut,2,1,11,0.025
rsv_2018,2022-09-24,Connecticut,2,3,11,0.25
rsv_2018,2022-09-24,Connecticut,2,6,11,0.5
rsv_2018,2022-09-24,Connecticut,2,9,11,0.75
rsv_2018,2022-09-24,Connecticut,2,18,11,0.975
rsv_2018,2022-10-01,Connecticut,3,1,9,0.025
rsv_2018,2022-10-01,Connecticut,3,3,9,0.25
rsv_2018,2022-10-01,Connecticut,3,6,9,0.5
rsv_2018,2022-10-01,Connecticut,3,9,9,0.75
rsv_2018,2022-10-01,Connecticut,3,21,9,0.975
rsv_2018,2022-10-08,Connecticut,4,0,18,0.025
rsv_2018,2022-10-08,Connecticut,4,3,18,0.25
rsv_2018,2022-10-08,Connecticut,4,6,18,0.5
rsv_2018,2022-10-08,Connecticut,4,10,18,0.75
rsv_2018,2022-10-08,Connecticut,4,24,18,0.975
rsv_2018,2022-09-17,Georgia,1,37,123,0.025
rsv_2018,2022-09-17,Georgia,1,61,123,0.25
rsv_2018,2022-09-17,Georgia,1,78,123,0.5
rsv_2018,2022-09-17,Georgia,1,99,123,0.75
rsv_2018,2022-09-17,Georgia,1,153,123,0.975
rsv_2018,2022-09-24,Georgia,2,28,102,0.025
rsv_2018,2022-09-24,Georgia,2,54,102,0.25
rsv_2018,2022-09-24,Georgia,2,75,102,0.5
rsv_2018,2022-09-24,Georgia,2,104,102,0.75
rsv_2018,2022-09-24,Georgia,2,186,102,0.975
rsv_2018,2022-10-01,Georgia,3,23,110,0.025
rsv_2018,2022-10-01,Georgia,3,50,110,0.25
rsv_2018,2022-10-01,Georgia,3,73,110,0.5
rsv_2018,2022-10-01,Georgia,3,108,110,0.75
rsv_2018,2022-10-01,Georgia,3,216,110,0.975
rsv_2018,2022-10-08,Georgia,4,20,102,0.025
rsv_2018,2022-10-08,Georgia,4,48,102,0.25
rsv_2018,2022-10-08,Georgia,4,73,102,0.5
rsv_2018,2022-10-08,Georgia,4,114,102,0.75
rsv_2018,2022-10-08,Georgia,4,258,102,0.975
rsv_2018,2022-09-17,Maryland,1,3,17,0.025
rsv_2018,2022-09-17,Maryland,1,7,17,0.25
rsv_2018,2022-09-17,Maryland,1,10,17,0.5
rsv_2018,2022-09-17,Maryland,1,14,17,0.75
rsv_2018,2022-09-17,Maryland,1,24,17,0.975
rsv_2018,2022-09-24,Maryland,2,2,17,0.025
rsv_2018,2022-09-24,Maryland,2,6,17,0.25
rsv_2018,2022-09-24,Maryland,2,10,17,0.5
rsv_2018,2022-09-24,Maryland,2,15,17,0.75
rsv_2018,2022-09-24,Maryland,2,29,17,0.975
rsv_2018,2022-10-01,Maryland,3,2,23,0.025
rsv_2018,2022-10-01,Maryland,3,6,23,0.25
rsv_2018,2022-10-01,Maryland,3,10,23,0.5
rsv_2018,2022-10-01,Maryland,3,16,23,0.75
rsv_2018,2022-10-01,Maryland,3,34,23,0.975
rsv_2018,2022-10-08,Maryland,4,2,42,0.025
rsv_2018,2022-10-08,Maryland,4,6,42,0.25
rsv_2018,2022-10-08,Maryland,4,11,42,0.5
rsv_2018,2022-10-08,Maryland,4,17,42,0.75
rsv_2018,2022-10-08,Maryland,4,41,42,0.975
rsv_2018,2022-09-17,Michigan,1,0,5,0.025
rsv_2018,2022-09-17,Michigan,1,2,5,0.25
rsv_2018,2022-09-17,Michigan,1,3,5,0.5
rsv_2018,2022-09-17,Michigan,1,5,5,0.75
rsv_2018,2022-09-17,Michigan,1,11,5,0.975
rsv_2018,2022-09-24,Michigan,2,0,13,0.025
rsv_2018,2022-09-24,Michigan,2,2,13,0.25
rsv_2018,2022-09-24,Michigan,2,3,13,0.5
rsv_2018,2022-09-24,Michigan,2,6,13,0.75
rsv_2018,2022-09-24,Michigan,2,12,13,0.975
rsv_2018,2022-10-01,Michigan,3,0,22,0.025
rsv_2018,2022-10-01,Michigan,3,2,22,0.25
rsv_2018,2022-10-01,Michigan,3,3,22,0.5
rsv_2018,2022-10-01,Michigan,3,6,22,0.75
rsv_2018,2022-10-01,Michigan,3,14,22,0.975
rsv_2018,2022-10-08,Michigan,4,0,30,0.025
rsv_2018,2022-10-08,Michigan,4,2,30,0.25
rsv_2018,2022-10-08,Michigan,4,4,30,0.5
rsv_2018,2022-10-08,Michigan,4,7,30,0.75
rsv_2018,2022-10-08,Michigan,4,17,30,0.975
rsv_2018,2022-09-17,Minnesota,1,4,35,0.025
rsv_2018,2022-09-17,Minnesota,1,10,35,0.25
rsv_2018,2022-09-17,Minnesota,1,14,35,0.5
rsv_2018,2022-09-17,Minnesota,1,18,35,0.75
rsv_2018,2022-09-17,Minnesota,1,31,35,0.975
rsv_2018,2022-09-24,Minnesota,2,4,44,0.025
rsv_2018,2022-09-24,Minnesota,2,9,44,0.25
rsv_2018,2022-09-24,Minnesota,2,14,44,0.5
rsv_2018,2022-09-24,Minnesota,2,20,44,0.75
rsv_2018,2022-09-24,Minnesota,2,38,44,0.975
rsv_2018,2022-10-01,Minnesota,3,3,50,0.025
rsv_2018,2022-10-01,Minnesota,3,9,50,0.25
rsv_2018,2022-10-01,Minnesota,3,14,50,0.5
rsv_2018,2022-10-01,Minnesota,3,21,50,0.75
rsv_2018,2022-10-01,Minnesota,3,47,50,0.975
rsv_2018,2022-10-08,Minnesota,4,3,66,0.025
rsv_2018,2022-10-08,Minnesota,4,9,66,0.25
rsv_2018,2022-10-08,Minnesota,4,15,66,0.5
rsv_2018,2022-10-08,Minnesota,4,23,66,0.75
rsv_2018,2022-10-08,Minnesota,4,54,66,0.975
rsv_2018,2022-09-17,New Mexico,1,0,2,0.025
rsv_2018,2022-09-17,New Mexico,1,2,2,0.25
rsv_2018,2022-09-17,New Mexico,1,3,2,0.5
rsv_2018,2022-09-17,New Mexico,1,5,2,0.75
rsv_2018,2022-09-17,New Mexico,1,11,2,0.975
rsv_2018,2022-09-24,New Mexico,2,0,5,0.025
rsv_2018,2022-09-24,New Mexico,2,2,5,0.25
rsv_2018,2022-09-24,New Mexico,2,3,5,0.5
rsv_2018,2022-09-24,New Mexico,2,6,5,0.75
rsv_2018,2022-09-24,New Mexico,2,12,5,0.975
rsv_2018,2022-10-01,New Mexico,3,0,5,0.025
rsv_2018,2022-10-01,New Mexico,3,2,5,0.25
rsv_2018,2022-10-01,New Mexico,3,4,5,0.5
rsv_2018,2022-10-01,New Mexico,3,6,5,0.75
rsv_2018,2022-10-01,New Mexico,3,14,5,0.975
rsv_2018,2022-10-08,New Mexico,4,0,11,0.025
rsv_2018,2022-10-08,New Mexico,4,2,11,0.25
rsv_2018,2022-10-08,New Mexico,4,4,11,0.5
rsv_2018,2022-10-08,New Mexico,4,6,11,0.75
rsv_2018,2022-10-08,New Mexico,4,16,11,0.975
rsv_2018,2022-09-17,New York,1,1,11,0.025
rsv_2018,2022-09-17,New York,1,4,11,0.25
rsv_2018,2022-09-17,New York,1,7,11,0.5
rsv_2018,2022-09-17,New York,1,10,11,0.75
rsv_2018,2022-09-17,New York,1,17,11,0.975
rsv_2018,2022-09-24,New York,2,1,14,0.025
rsv_2018,2022-09-24,New York,2,4,14,0.25
rsv_2018,2022-09-24,New York,2,7,14,0.5
rsv_2018,2022-09-24,New York,2,10,14,0.75
rsv_2018,2022-09-24,New York,2,21,14,0.975
rsv_2018,2022-10-01,New York,3,1,25,0.025
rsv_2018,2022-10-01,New York,3,4,25,0.25
rsv_2018,2022-10-01,New York,3,7,25,0.5
rsv_2018,2022-10-01,New York,3,11,25,0.75
rsv_2018,2022-10-01,New York,3,24,25,0.975
rsv_2018,2022-10-08,New York,4,1,32,0.025
rsv_2018,2022-10-08,New York,4,4,32,0.25
rsv_2018,2022-10-08,New York,4,7,32,0.5
rsv_2018,2022-10-08,New York,4,12,32,0.75
rsv_2018,2022-10-08,New York,4,28,32,0.975
rsv_2018,2022-09-17,Oregon,1,0,2,0.025
rsv_2018,2022-09-17,Oregon,1,1,2,0.25
rsv_2018,2022-09-17,Oregon,1,2,2,0.5
rsv_2018,2022-09-17,Oregon,1,4,2,0.75
rsv_2018,2022-09-17,Oregon,1,8,2,0.975
rsv_2018,2022-09-24,Oregon,2,0,4,0.025
rsv_2018,2022-09-24,Oregon,2,1,4,0.25
rsv_2018,2022-09-24,Oregon,2,2,4,0.5
rsv_2018,2022-09-24,Oregon,2,4,4,0.75
rsv_2018,2022-09-24,Oregon,2,10,4,0.975
rsv_2018,2022-10-01,Oregon,3,0,0,0.025
rsv_2018,2022-10-01,Oregon,3,1,0,0.25
rsv_2018,2022-10-01,Oregon,3,3,0,0.5
rsv_2018,2022-10-01,Oregon,3,4,0,0.75
rsv_2018,2022-10-01,Oregon,3,11,0,0.975
rsv_2018,2022-10-08,Oregon,4,0,5,0.025
rsv_2018,2022-10-08,Oregon,4,1,5,0.25
rsv_2018,2022-10-08,Oregon,4,3,5,0.5
rsv_2018,2022-10-08,Oregon,4,5,5,0.75
rsv_2018,2022-10-08,Oregon,4,13,5,0.975
rsv_2018,2022-09-17,Tennessee,1,4,15,0.025
rsv_2018,2022-09-17,Tennessee,1,9,15,0.25
rsv_2018,2022-09-17,Tennessee,1,13,15,0.5
rsv_2018,2022-09-17,Tennessee,1,18,15,0.75
rsv_2018,2022-09-17,Tennessee,1,31,15,0.975
rsv_2018,2022-09-24,Tennessee,2,3,22,0.025
rsv_2018,2022-09-24,Tennessee,2,9,22,0.25
rsv_2018,2022-09-24,Tennessee,2,13,22,0.5
