location,location_number,date,count,disease
Alabama,1,2020-10-24,769,covid
Alaska,2,2020-10-24,43,covid
Arizona,4,2020-10-24,502,covid
Arkansas,5,2020-10-24,455,covid
California,6,2020-10-24,1744,covid
Colorado,8,2020-10-24,460,covid
Connecticut,9,2020-10-24,167,covid
Delaware,10,2020-10-24,58,covid
District of Columbia,11,2020-10-24,63,covid
Florida,12,2020-10-24,1721,covid
Georgia,13,2020-10-24,1416,covid
Hawaii,15,2020-10-24,38,covid
Idaho,16,2020-10-24,191,covid
Illinois,17,2020-10-24,1393,covid
Indiana,18,2020-10-24,901,covid
Iowa,19,2020-10-24,457,covid
Kansas,20,2020-10-24,435,covid
Kentucky,21,2020-10-24,1068,covid
Louisiana,22,2020-10-24,576,covid
Maine,23,2020-10-24,8,covid
Maryland,24,2020-10-24,319,covid
Massachusetts,25,2020-10-24,309,covid
Michigan,26,2020-10-24,741,covid
Minnesota,27,2020-10-24,480,covid
Mississippi,28,2020-10-24,457,covid
Missouri,29,2020-10-24,882,covid
Montana,30,2020-10-24,304,covid
Nebraska,31,2020-10-24,280,covid
Nevada,32,2020-10-24,253,covid
New Hampshire,33,2020-10-24,13,covid
New Jersey,34,2020-10-24,484,covid
New Mexico,35,2020-10-24,241,covid
New York,36,2020-10-24,785,covid
North Carolina,37,2020-10-24,762,covid
North Dakota,38,2020-10-24,196,covid
Ohio,39,2020-10-24,1178,covid
Oklahoma,40,2020-10-24,1040,covid
Oregon,41,2020-10-24,138,covid
Pennsylvania,42,2020-10-24,753,covid
Puerto Rico,72,2020-10-24,571,covid
Rhode Island,44,2020-10-24,59,covid
South Carolina,45,2020-10-24,364,covid
South Dakota,46,2020-10-24,286,covid
Tennessee,47,2020-10-24,884,covid
Texas,48,2020-10-24,3861,covid
US,NA,2020-10-24,30762,covid
Utah,49,2020-10-24,242,covid
Vermont,50,2020-10-24,2,covid
Virginia,51,2020-10-24,379,covid
Washington,53,2020-10-24,153,covid
West Virginia,54,2020-10-24,149,covid
Wisconsin,55,2020-10-24,1637,covid
Wyoming,56,2020-10-24,95,covid
Alabama,1,2020-10-31,1117,covid
Alaska,2,2020-10-31,70,covid
Arizona,4,2020-10-31,677,covid
Arkansas,5,2020-10-31,622,covid
California,6,2020-10-31,2527,covid
Colorado,8,2020-10-31,745,covid
Connecticut,9,2020-10-31,298,covid
Delaware,10,2020-10-31,77,covid
District of Columbia,11,2020-10-31,89,covid
Florida,12,2020-10-31,3001,covid
Georgia,13,2020-10-31,1998,covid
Hawaii,15,2020-10-31,48,covid
Idaho,16,2020-10-31,287,covid
Illinois,17,2020-10-31,2361,covid
Indiana,18,2020-10-31,1336,covid
Iowa,19,2020-10-31,711,covid
Kansas,20,2020-10-31,657,covid
Kentucky,21,2020-10-31,1665,covid
Louisiana,22,2020-10-31,550,covid
Maine,23,2020-10-31,36,covid
Maryland,24,2020-10-31,485,covid
Massachusetts,25,2020-10-31,392,covid
Michigan,26,2020-10-31,1656,covid
Minnesota,27,2020-10-31,768,covid
Mississippi,28,2020-10-31,510,covid
Missouri,29,2020-10-31,1320,covid
Montana,30,2020-10-31,442,covid
Nebraska,31,2020-10-31,511,covid
Nevada,32,2020-10-31,387,covid
New Hampshire,33,2020-10-31,31,covid
New Jersey,34,2020-10-31,749,covid
New Mexico,35,2020-10-31,413,covid
New York,36,2020-10-31,1029,covid
North Carolina,37,2020-10-31,1013,covid
North Dakota,38,2020-10-31,299,covid
Ohio,39,2020-10-31,1673,covid
Oklahoma,40,2020-10-31,1366,covid
Oregon,41,2020-10-31,134,covid
Pennsylvania,42,2020-10-31,1178,covid
Puerto Rico,72,2020-10-31,946,covid
Rhode Island,44,2020-10-31,70,covid
South Carolina,45,2020-10-31,512,covid
South Dakota,46,2020-10-31,477,covid
Tennessee,47,2020-10-31,1302,covid
Texas,48,2020-10-31,5518,covid
US,NA,2020-10-31,46114,covid
Utah,49,2020-10-31,379,covid
Vermont,50,2020-10-31,9,covid
Virginia,51,2020-10-31,565,covid
Washington,53,2020-10-31,295,covid
West Virginia,54,2020-10-31,202,covid
Wisconsin,55,2020-10-31,2477,covid
Wyoming,56,2020-10-31,134,covid
Alabama,1,2020-11-07,1092,covid
Alaska,2,2020-11-07,92,covid
Arizona,4,2020-11-07,897,covid
Arkansas,5,2020-11-07,676,covid
California,6,2020-11-07,2894,covid
Colorado,8,2020-11-07,1097,covid
Connecticut,9,2020-11-07,370,covid
Delaware,10,2020-11-07,92,covid
District of Columbia,11,2020-11-07,75,covid
Florida,12,2020-11-07,2886,covid
Georgia,13,2020-11-07,2258,covid
Hawaii,15,2020-11-07,52,covid
Idaho,16,2020-11-07,313,covid
Illinois,17,2020-11-07,3167,covid
