date,location,location_name,count
2024-04-27,02,Alaska,3
2024-04-27,01,Alabama,16
2024-04-27,05,Arkansas,30
2024-04-27,04,Arizona,106
2024-04-27,06,California,151
2024-04-27,08,Colorado,23
2024-04-27,09,Connecticut,64
2024-04-27,11,District of Columbia,8
2024-04-27,10,Delaware,2
2024-04-27,12,Florida,266
2024-04-27,13,Georgia,30
2024-04-27,15,Hawaii,14
2024-04-27,19,Iowa,22
2024-04-27,16,Idaho,16
2024-04-27,17,Illinois,86
2024-04-27,18,Indiana,37
2024-04-27,20,Kansas,27
2024-04-27,21,Kentucky,25
2024-04-27,22,Louisiana,17
2024-04-27,25,Massachusetts,67
2024-04-27,24,Maryland,20
2024-04-27,23,Maine,14
2024-04-27,26,Michigan,117
2024-04-27,27,Minnesota,39
2024-04-27,29,Missouri,59
2024-04-27,28,Mississippi,21
2024-04-27,30,Montana,3
2024-04-27,37,North Carolina,13
2024-04-27,38,North Dakota,7
2024-04-27,31,Nebraska,17
2024-04-27,33,New Hampshire,4
2024-04-27,34,New Jersey,89
2024-04-27,35,New Mexico,20
2024-04-27,32,Nevada,21
2024-04-27,36,New York,163
2024-04-27,39,Ohio,75
2024-04-27,40,Oklahoma,31
2024-04-27,41,Oregon,34
2024-04-27,42,Pennsylvania,118
2024-04-27,72,Puerto Rico,44
2024-04-27,44,Rhode Island,7
2024-04-27,45,South Carolina,30
2024-04-27,46,South Dakota,14
2024-04-27,47,Tennessee,46
2024-04-27,48,Texas,150
2024-04-27,US,US,2337
2024-04-27,49,Utah,6
2024-04-27,51,Virginia,58
2024-04-27,50,Vermont,6
2024-04-27,53,Washington,37
2024-04-27,55,Wisconsin,38
2024-04-27,54,West Virginia,22
2024-04-27,56,Wyoming,4
2024-04-20,02,Alaska,2
2024-04-20,01,Alabama,18
2024-04-20,05,Arkansas,30
2024-04-20,04,Arizona,81
2024-04-20,06,California,154
2024-04-20,08,Colorado,26
2024-04-20,09,Connecticut,57
2024-04-20,11,District of Columbia,14
2024-04-20,10,Delaware,8
2024-04-20,12,Florida,243
2024-04-20,13,Georgia,37
2024-04-20,15,Hawaii,5
2024-04-20,19,Iowa,53
2024-04-20,16,Idaho,15
2024-04-20,17,Illinois,122
2024-04-20,18,Indiana,55
2024-04-20,20,Kansas,44
2024-04-20,21,Kentucky,47
2024-04-20,22,Louisiana,25
2024-04-20,25,Massachusetts,127
2024-04-20,24,Maryland,38
2024-04-20,23,Maine,16
2024-04-20,26,Michigan,156
2024-04-20,27,Minnesota,53
2024-04-20,29,Missouri,78
2024-04-20,28,Mississippi,25
2024-04-20,30,Montana,6
2024-04-20,37,North Carolina,23
2024-04-20,38,North Dakota,15
2024-04-20,31,Nebraska,27
2024-04-20,33,New Hampshire,12
2024-04-20,34,New Jersey,110
2024-04-20,35,New Mexico,15
2024-04-20,32,Nevada,26
2024-04-20,36,New York,217
2024-04-20,39,Ohio,109
2024-04-20,40,Oklahoma,31
2024-04-20,41,Oregon,32
2024-04-20,42,Pennsylvania,153
2024-04-20,72,Puerto Rico,36
2024-04-20,44,Rhode Island,11
2024-04-20,45,South Carolina,37
2024-04-20,46,South Dakota,24
2024-04-20,47,Tennessee,58
2024-04-20,48,Texas,190
2024-04-20,US,US,2860
2024-04-20,49,Utah,3
2024-04-20,51,Virginia,79
2024-04-20,50,Vermont,10
2024-04-20,53,Washington,26
2024-04-20,55,Wisconsin,66
2024-04-20,54,West Virginia,13
2024-04-20,56,Wyoming,2
2024-04-13,02,Alaska,8
2024-04-13,01,Alabama,19
2024-04-13,05,Arkansas,47
2024-04-13,04,Arizona,88
2024-04-13,06,California,178
2024-04-13,08,Colorado,55
2024-04-13,09,Connecticut,62
2024-04-13,11,District of Columbia,17
2024-04-13,10,Delaware,7
2024-04-13,12,Florida,328
2024-04-13,13,Georgia,54
2024-04-13,15,Hawaii,12
2024-04-13,19,Iowa,63
2024-04-13,16,Idaho,12
2024-04-13,17,Illinois,186
2024-04-13,18,Indiana,104
2024-04-13,20,Kansas,27
2024-04-13,21,Kentucky,67
2024-04-13,22,Louisiana,30
2024-04-13,25,Massachusetts,168
2024-04-13,24,Maryland,55
2024-04-13,23,Maine,15
2024-04-13,26,Michigan,297
2024-04-13,27,Minnesota,79
2024-04-13,29,Missouri,108
2024-04-13,28,Mississippi,38
2024-04-13,30,Montana,9
2024-04-13,37,North Carolina,55
2024-04-13,38,North Dakota,17
2024-04-13,31,Nebraska,46
2024-04-13,33,New Hampshire,14
2024-04-13,34,New Jersey,130
2024-04-13,35,New Mexico,19
2024-04-13,32,Nevada,24
2024-04-13,36,New York,366
2024-04-13,39,Ohio,191
2024-04-13,40,Oklahoma,36
2024-04-13,41,Oregon,33
2024-04-13,42,Pennsylvania,199
2024-04-13,72,Puerto Rico,43
2024-04-13,44,Rhode Island,14
2024-04-13,45,South Carolina,64
2024-04-13,46,South Dakota,14
2024-04-13,47,Tennessee,77
2024-04-13,48,Texas,208
2024-04-13,US,US,3957
2024-04-13,49,Utah,1
2024-04-13,51,Virginia,110
2024-04-13,50,Vermont,16
2024-04-13,53,Washington,42
2024-04-13,55,Wisconsin,77
2024-04-13,54,West Virginia,22
2024-04-13,56,Wyoming,6
2024-04-06,02,Alaska,7
2024-04-06,01,Alabama,39
2024-04-06,05,Arkansas,60
2024-04-06,04,Arizona,84
2024-04-06,06,California,150
2024-04-06,08,Colorado,49
