location,date,epiweek,epiyear,population,count,weekly_rate
Alabama,2020-10-24,43,2020,5063778,3,0.059244303364010036
Alaska,2020-10-24,43,2020,711426,0,0
Arizona,2020-10-24,43,2020,7341018,1,0.01362208892554139
Arkansas,2020-10-24,43,2020,3041878,4,0.13149771292602794
California,2020-10-24,43,2020,38886551,9,0.02314424850895108
Colorado,2020-10-24,43,2020,5803748,0,0
Connecticut,2020-10-24,43,2020,3621089,0,0
Delaware,2020-10-24,43,2020,1014872,0,0
District of Columbia,2020-10-24,43,2020,668576,0,0
Florida,2020-10-24,43,2020,22183852,20,0.09015566818603009
Georgia,2020-10-24,43,2020,10855454,3,0.027635877780883233
Hawaii,2020-10-24,43,2020,1398977,0,0
Idaho,2020-10-24,43,2020,1935521,1,0.05166567554679076
Illinois,2020-10-24,43,2020,12563096,1,0.007959821368872768
Indiana,2020-10-24,43,2020,6831941,0,0
Iowa,2020-10-24,43,2020,3200224,1,0.03124781265311428
Kansas,2020-10-24,43,2020,2916451,5,0.1714412482843017
Kentucky,2020-10-24,43,2020,4494379,11,0.2447501645944857
Louisiana,2020-10-24,43,2020,4575074,0,0
Maine,2020-10-24,43,2020,1384543,0,0
Maryland,2020-10-24,43,2020,6133130,0,0
Massachusetts,2020-10-24,43,2020,6978662,0,0
Michigan,2020-10-24,43,2020,10032075,7,0.06977619286139707
Minnesota,2020-10-24,43,2020,5716548,0,0
Mississippi,2020-10-24,43,2020,2927305,6,0.2049666843735108
Missouri,2020-10-24,43,2020,6164537,7,0.1135527291019585
Montana,2020-10-24,43,2020,1119563,0,0
Nebraska,2020-10-24,43,2020,1961505,0,0
Nevada,2020-10-24,43,2020,3165539,5,0.15795098401883534
New Hampshire,2020-10-24,43,2020,1394692,0,0
New Jersey,2020-10-24,43,2020,9254137,2,0.021611955820407674
New Mexico,2020-10-24,43,2020,2100079,1,0.04761725630321526
New York,2020-10-24,43,2020,19657190,6,0.030523182611553328
North Carolina,2020-10-24,43,2020,10596562,7,0.06605916145255414
North Dakota,2020-10-24,43,2020,772061,0,0
Ohio,2020-10-24,43,2020,11749303,2,0.017022286343283514
Oklahoma,2020-10-24,43,2020,4001266,9,0.224928810031625
Oregon,2020-10-24,43,2020,4238665,0,0
Pennsylvania,2020-10-24,43,2020,12969276,5,0.03855265320901491
Puerto Rico,2020-10-24,43,2020,3221789,0,0
Rhode Island,2020-10-24,43,2020,1090390,2,0.18342061097405515
South Carolina,2020-10-24,43,2020,5246039,1,0.01906200087342088
South Dakota,2020-10-24,43,2020,906458,1,0.11031950735720794
Tennessee,2020-10-24,43,2020,7030607,19,0.27024693600424543
Texas,2020-10-24,43,2020,29914599,35,0.11699972979748116
US,2020-10-24,43,2020,332200066,174,0.05237807508442819
Utah,2020-10-24,43,2020,3376238,0,0
