location,date,epiweek,epiyear,population,pop_served,count,weekly_rate
California,2018-10-06,40,2018,38886551,3499789.59,0,0
Colorado,2018-10-06,40,2018,5803748,2843836.52,0,0
Connecticut,2018-10-06,40,2018,3621089,869061.36,0,0
Georgia,2018-10-06,40,2018,10855454,4233627.0600000005,17,0.4
Maryland,2018-10-06,40,2018,6133130,2821239.8000000003,3,0.1
Michigan,2018-10-06,40,2018,10032075,1304169.75,5,0.4
Minnesota,2018-10-06,40,2018,5716548,3144101.4000000004,3,0.1
New Mexico,2018-10-06,40,2018,2100079,672025.28,0,0
New York,2018-10-06,40,2018,19657190,1769147.0999999999,0,0
Oregon,2018-10-06,40,2018,4238665,1822625.95,0,0
Tennessee,2018-10-06,40,2018,7030607,1827957.82,2,0.1
Utah,2018-10-06,40,2018,3376238,1215445.68,1,0.1
California,2018-10-13,41,2018,38886551,3499789.59,3,0.1
Colorado,2018-10-13,41,2018,5803748,2843836.52,0,0
Connecticut,2018-10-13,41,2018,3621089,869061.36,2,0.2
Georgia,2018-10-13,41,2018,10855454,4233627.0600000005,25,0.6
Maryland,2018-10-13,41,2018,6133130,2821239.8000000003,3,0.1
Michigan,2018-10-13,41,2018,10032075,1304169.75,0,0
Minnesota,2018-10-13,41,2018,5716548,3144101.4000000004,6,0.2
New Mexico,2018-10-13,41,2018,2100079,672025.28,0,0
New York,2018-10-13,41,2018,19657190,1769147.0999999999,0,0
Oregon,2018-10-13,41,2018,4238665,1822625.95,2,0.1
Tennessee,2018-10-13,41,2018,7030607,1827957.82,9,0.5
Utah,2018-10-13,41,2018,3376238,1215445.68,0,0
California,2018-10-20,42,2018,38886551,3499789.59,3,0.1
Colorado,2018-10-20,42,2018,5803748,2843836.52,0,0
Connecticut,2018-10-20,42,2018,3621089,869061.36,3,0.4
Georgia,2018-10-20,42,2018,10855454,4233627.0600000005,30,0.7
Maryland,2018-10-20,42,2018,6133130,2821239.8000000003,3,0.1
Michigan,2018-10-20,42,2018,10032075,1304169.75,1,0.1
Minnesota,2018-10-20,42,2018,5716548,3144101.4000000004,13,0.4
New Mexico,2018-10-20,42,2018,2100079,672025.28,1,0.1
New York,2018-10-20,42,2018,19657190,1769147.0999999999,2,0.1
Oregon,2018-10-20,42,2018,4238665,1822625.95,2,0.1
Tennessee,2018-10-20,42,2018,7030607,1827957.82,13,0.7
Utah,2018-10-20,42,2018,3376238,1215445.68,0,0
California,2018-10-27,43,2018,38886551,3499789.59,7,0.2
Colorado,2018-10-27,43,2018,5803748,2843836.52,0,0
Connecticut,2018-10-27,43,2018,3621089,869061.36,2,0.2
Georgia,2018-10-27,43,2018,10855454,4233627.0600000005,34,0.8
Maryland,2018-10-27,43,2018,6133130,2821239.8000000003,6,0.2
Michigan,2018-10-27,43,2018,10032075,1304169.75,0,0
Minnesota,2018-10-27,43,2018,5716548,3144101.4000000004,9,0.3
New Mexico,2018-10-27,43,2018,2100079,672025.28,0,0
New York,2018-10-27,43,2018,19657190,1769147.0999999999,0,0
Oregon,2018-10-27,43,2018,4238665,1822625.95,2,0.1
Tennessee,2018-10-27,43,2018,7030607,1827957.82,13,0.7
Utah,2018-10-27,43,2018,3376238,1215445.68,1,0.1
California,2018-11-03,44,2018,38886551,3499789.59,7,0.2
Colorado,2018-11-03,44,2018,5803748,2843836.52,0,0
Connecticut,2018-11-03,44,2018,3621089,869061.36,2,0.2
Georgia,2018-11-03,44,2018,10855454,4233627.0600000005,25,0.6
Maryland,2018-11-03,44,2018,6133130,2821239.8000000003,6,0.2
Michigan,2018-11-03,44,2018,10032075,1304169.75,8,0.6
Minnesota,2018-11-03,44,2018,5716548,3144101.4000000004,13,0.4
New Mexico,2018-11-03,44,2018,2100079,672025.28,0,0
New York,2018-11-03,44,2018,19657190,1769147.0999999999,4,0.2
Oregon,2018-11-03,44,2018,4238665,1822625.95,2,0.1
Tennessee,2018-11-03,44,2018,7030607,1827957.82,11,0.6
Utah,2018-11-03,44,2018,3376238,1215445.68,0,0
California,2018-11-10,45,2018,38886551,3499789.59,7,0.2
Colorado,2018-11-10,45,2018,5803748,2843836.52,0,0
Connecticut,2018-11-10,45,2018,3621089,869061.36,3,0.4
Georgia,2018-11-10,45,2018,10855454,4233627.0600000005,47,1.1
Maryland,2018-11-10,45,2018,6133130,2821239.8000000003,11,0.4
Michigan,2018-11-10,45,2018,10032075,1304169.75,10,0.8
Minnesota,2018-11-10,45,2018,5716548,3144101.4000000004,19,0.6
New Mexico,2018-11-10,45,2018,2100079,672025.28,0,0
New York,2018-11-10,45,2018,19657190,1769147.0999999999,12,0.7
Oregon,2018-11-10,45,2018,4238665,1822625.95,4,0.2
Tennessee,2018-11-10,45,2018,7030607,1827957.82,18,1
Utah,2018-11-10,45,2018,3376238,1215445.68,1,0.1
California,2018-11-17,46,2018,38886551,3499789.59,7,0.2
Colorado,2018-11-17,46,2018,5803748,2843836.52,3,0.1
Connecticut,2018-11-17,46,2018,3621089,869061.36,3,0.4
Georgia,2018-11-17,46,2018,10855454,4233627.0600000005,55,1.3
Maryland,2018-11-17,46,2018,6133130,2821239.8000000003,11,0.4
Michigan,2018-11-17,46,2018,10032075,1304169.75,8,0.6
Minnesota,2018-11-17,46,2018,5716548,3144101.4000000004,22,0.7
New Mexico,2018-11-17,46,2018,2100079,672025.28,1,0.1
New York,2018-11-17,46,2018,19657190,1769147.0999999999,4,0.2
Oregon,2018-11-17,46,2018,4238665,1822625.95,2,0.1
Tennessee,2018-11-17,46,2018,7030607,1827957.82,20,1.1
Utah,2018-11-17,46,2018,3376238,1215445.68,2,0.2
California,2018-11-24,47,2018,38886551,3499789.59,3,0.1
Colorado,2018-11-24,47,2018,5803748,2843836.52,3,0.1
Connecticut,2018-11-24,47,2018,3621089,869061.36,5,0.6
Georgia,2018-11-24,47,2018,10855454,4233627.0600000005,42,1
Maryland,2018-11-24,47,2018,6133130,2821239.8000000003,11,0.4
Michigan,2018-11-24,47,2018,10032075,1304169.75,12,0.9
Minnesota,2018-11-24,47,2018,5716548,3144101.4000000004,28,0.9
New Mexico,2018-11-24,47,2018,2100079,672025.28,1,0.1
New York,2018-11-24,47,2018,19657190,1769147.0999999999,9,0.5
Oregon,2018-11-24,47,2018,4238665,1822625.95,5,0.3
Tennessee,2018-11-24,47,2018,7030607,1827957.82,26,1.4
Utah,2018-11-24,47,2018,3376238,1215445.68,1,0.1
California,2018-12-01,48,2018,38886551,3499789.59,14,0.4
Colorado,2018-12-01,48,2018,5803748,2843836.52,6,0.2
Connecticut,2018-12-01,48,2018,3621089,869061.36,10,1.1
Georgia,2018-12-01,48,2018,10855454,4233627.0600000005,68,1.6
Maryland,2018-12-01,48,2018,6133130,2821239.8000000003,23,0.8
Michigan,2018-12-01,48,2018,10032075,1304169.75,12,0.9
Minnesota,2018-12-01,48,2018,5716548,3144101.4000000004,44,1.4
New Mexico,2018-12-01,48,2018,2100079,672025.28,2,0.3
New York,2018-12-01,48,2018,19657190,1769147.0999999999,25,1.4
Oregon,2018-12-01,48,2018,4238665,1822625.95,2,0.1
Tennessee,2018-12-01,48,2018,7030607,1827957.82,40,2.2
Utah,2018-12-01,48,2018,3376238,1215445.68,10,0.8
California,2018-12-08,49,2018,38886551,3499789.59,24,0.7
Colorado,2018-12-08,49,2018,5803748,2843836.52,6,0.2
Connecticut,2018-12-08,49,2018,3621089,869061.36,6,0.7
Georgia,2018-12-08,49,2018,10855454,4233627.0600000005,38,0.9
Maryland,2018-12-08,49,2018,6133130,2821239.8000000003,20,0.7
Michigan,2018-12-08,49,2018,10032075,1304169.75,23,1.8
Minnesota,2018-12-08,49,2018,5716548,3144101.4000000004,50,1.6
New Mexico,2018-12-08,49,2018,2100079,672025.28,2,0.3
New York,2018-12-08,49,2018,19657190,1769147.0999999999,32,1.8
Oregon,2018-12-08,49,2018,4238665,1822625.95,9,0.5
Tennessee,2018-12-08,49,2018,7030607,1827957.82,40,2.2
Utah,2018-12-08,49,2018,3376238,1215445.68,2,0.2
California,2018-12-15,50,2018,38886551,3499789.59,21,0.6
Colorado,2018-12-15,50,2018,5803748,2843836.52,11,0.4
Connecticut,2018-12-15,50,2018,3621089,869061.36,6,0.7
Georgia,2018-12-15,50,2018,10855454,4233627.0600000005,47,1.1
Maryland,2018-12-15,50,2018,6133130,2821239.8000000003,28,1
Michigan,2018-12-15,50,2018,10032075,1304169.75,33,2.5
Minnesota,2018-12-15,50,2018,5716548,3144101.4000000004,69,2.2
New Mexico,2018-12-15,50,2018,2100079,672025.28,1,0.1
New York,2018-12-15,50,2018,19657190,1769147.0999999999,35,2
Oregon,2018-12-15,50,2018,4238665,1822625.95,13,0.7
Tennessee,2018-12-15,50,2018,7030607,1827957.82,38,2.1
Utah,2018-12-15,50,2018,3376238,1215445.68,11,0.9
California,2018-12-22,51,2018,38886551,3499789.59,31,0.9
Colorado,2018-12-22,51,2018,5803748,2843836.52,9,0.3
Connecticut,2018-12-22,51,2018,3621089,869061.36,19,2.2
Georgia,2018-12-22,51,2018,10855454,4233627.0600000005,59,1.4
Maryland,2018-12-22,51,2018,6133130,2821239.8000000003,31,1.1
Michigan,2018-12-22,51,2018,10032075,1304169.75,52,4
Minnesota,2018-12-22,51,2018,5716548,3144101.4000000004,60,1.9
New Mexico,2018-12-22,51,2018,2100079,672025.28,4,0.6
New York,2018-12-22,51,2018,19657190,1769147.0999999999,76,4.3
Oregon,2018-12-22,51,2018,4238665,1822625.95,9,0.5
Tennessee,2018-12-22,51,2018,7030607,1827957.82,42,2.3
Utah,2018-12-22,51,2018,3376238,1215445.68,15,1.2
California,2018-12-29,52,2018,38886551,3499789.59,45,1.3
Colorado,2018-12-29,52,2018,5803748,2843836.52,14,0.5
Connecticut,2018-12-29,52,2018,3621089,869061.36,38,4.4
Georgia,2018-12-29,52,2018,10855454,4233627.0600000005,51,1.2
Maryland,2018-12-29,52,2018,6133130,2821239.8000000003,39,1.4
Michigan,2018-12-29,52,2018,10032075,1304169.75,52,4
Minnesota,2018-12-29,52,2018,5716548,3144101.4000000004,63,2
New Mexico,2018-12-29,52,2018,2100079,672025.28,9,1.3
New York,2018-12-29,52,2018,19657190,1769147.0999999999,76,4.3
Oregon,2018-12-29,52,2018,4238665,1822625.95,13,0.7
Tennessee,2018-12-29,52,2018,7030607,1827957.82,48,2.6
Utah,2018-12-29,52,2018,3376238,1215445.68,34,2.8
California,2019-01-05,1,2019,38886551,3499789.59,49,1.4
Colorado,2019-01-05,1,2019,5803748,2843836.52,17,0.6
Connecticut,2019-01-05,1,2019,3621089,869061.36,29,3.3
Georgia,2019-01-05,1,2019,10855454,4233627.0600000005,38,0.9
Maryland,2019-01-05,1,2019,6133130,2821239.8000000003,51,1.8
Michigan,2019-01-05,1,2019,10032075,1304169.75,42,3.2
Minnesota,2019-01-05,1,2019,5716548,3144101.4000000004,69,2.2
New Mexico,2019-01-05,1,2019,2100079,672025.28,10,1.5
New York,2019-01-05,1,2019,19657190,1769147.0999999999,90,5.1
Oregon,2019-01-05,1,2019,4238665,1822625.95,9,0.5
Tennessee,2019-01-05,1,2019,7030607,1827957.82,64,3.5
Utah,2019-01-05,1,2019,3376238,1215445.68,24,2
California,2019-01-12,2,2019,38886551,3499789.59,49,1.4
Colorado,2019-01-12,2,2019,5803748,2843836.52,26,0.9
Connecticut,2019-01-12,2,2019,3621089,869061.36,30,3.4
Georgia,2019-01-12,2,2019,10855454,4233627.0600000005,30,0.7
Maryland,2019-01-12,2,2019,6133130,2821239.8000000003,45,1.6
Michigan,2019-01-12,2,2019,10032075,1304169.75,51,3.9
Minnesota,2019-01-12,2,2019,5716548,3144101.4000000004,60,1.9
New Mexico,2019-01-12,2,2019,2100079,672025.28,16,2.4
New York,2019-01-12,2,2019,19657190,1769147.0999999999,76,4.3
Oregon,2019-01-12,2,2019,4238665,1822625.95,18,1
Tennessee,2019-01-12,2,2019,7030607,1827957.82,42,2.3
Utah,2019-01-12,2,2019,3376238,1215445.68,50,4.1
California,2019-01-19,3,2019,38886551,3499789.59,42,1.2
Colorado,2019-01-19,3,2019,5803748,2843836.52,31,1.1
Connecticut,2019-01-19,3,2019,3621089,869061.36,16,1.8
Georgia,2019-01-19,3,2019,10855454,4233627.0600000005,25,0.6
Maryland,2019-01-19,3,2019,6133130,2821239.8000000003,34,1.2
Michigan,2019-01-19,3,2019,10032075,1304169.75,35,2.7
Minnesota,2019-01-19,3,2019,5716548,3144101.4000000004,38,1.2
New Mexico,2019-01-19,3,2019,2100079,672025.28,18,2.7
New York,2019-01-19,3,2019,19657190,1769147.0999999999,48,2.7
Oregon,2019-01-19,3,2019,4238665,1822625.95,26,1.4
Tennessee,2019-01-19,3,2019,7030607,1827957.82,24,1.3
Utah,2019-01-19,3,2019,3376238,1215445.68,36,3
