model,reference_date,wis,rel_wis,mae,cov_50,cov_95
CADPH-FluCAT_Ensemble,2023-10-14,15.69,0.77,23.36,25,75
CADPH-FluCAT_Ensemble,2023-10-21,40.67,0.94,49.14,25,50
CADPH-FluCAT_Ensemble,2023-10-28,130.77,1.71,140.76,0,0
CADPH-FluCAT_Ensemble,2023-11-04,188.04,1.49,198.65,0,25
CADPH-FluCAT_Ensemble,2023-11-11,260.7,1.37,281.05,0,0
CADPH-FluCAT_Ensemble,2023-11-18,99.44,0.58,147.5,0,50
CADPH-FluCAT_Ensemble,2023-11-25,76.73,0.44,124.28,0,50
CADPH-FluCAT_Ensemble,2023-12-02,360.54,1.08,415.49,0,0
CADPH-FluCAT_Ensemble,2023-12-09,261.86,0.66,341.11,0,50
CADPH-FluCAT_Ensemble,2023-12-16,245.45,0.62,306.83,50,50
CADPH-FluCAT_Ensemble,2023-12-23,281.85,0.66,412.03,25,50
CADPH-FluCAT_Ensemble,2023-12-30,1424.53,3.99,1625.98,0,0
CADPH-FluCAT_Ensemble,2024-01-06,327.49,0.97,547.23,0,50
CADPH-FluCAT_Ensemble,2024-01-13,89.28,0.29,46.82,100,100
CADPH-FluCAT_Ensemble,2024-01-20,216.18,1.36,402.28,25,100
CADPH-FluCAT_Ensemble,2024-01-27,446.66,3.62,746.86,0,75
CADPH-FluCAT_Ensemble,2024-02-03,110.14,1.49,108.35,100,100
CADPH-FluCAT_Ensemble,2024-02-10,112.7,2.28,23.39,100,100
CADPH-FluCAT_Ensemble,2024-02-17,112.71,2.88,68.59,100,100
CADPH-FluCAT_Ensemble,2024-02-24,174.4,4.03,83.97,100,100
CADPH-FluCAT_Ensemble,2024-03-02,104.45,2.8,46.07,100,100
CADPH-FluCAT_Ensemble,2024-03-09,143.21,2.66,97.77,100,100
CADPH-FluCAT_Ensemble,2024-03-16,37.13,0.8,35.93,100,100
CADPH-FluCAT_Ensemble,2024-03-23,49.14,1.19,94.83,0,100
CADPH-FluCAT_Ensemble,2024-03-30,35.09,1.01,61.7,0,100
CADPH-FluCAT_Ensemble,2024-04-06,19.09,0.45,33.21,25,100
CADPH-FluCAT_Ensemble,2024-04-13,36.01,0.83,60.97,0,66.67
CADPH-FluCAT_Ensemble,2024-04-27,4.63,0.28,2.7,100,100
CMU-TimeSeries,2023-10-14,8.11,0.79,12.23,47.12,94.23
CMU-TimeSeries,2023-10-21,9.57,0.88,14.7,46.81,96.28
CMU-TimeSeries,2023-10-28,14.97,0.95,23.6,40.87,94.71
CMU-TimeSeries,2023-11-04,15.41,1.01,23.78,32.98,95.74
CMU-TimeSeries,2023-11-11,31.16,1.19,48.07,19.12,87.25
CMU-TimeSeries,2023-11-18,26.69,0.92,41.8,25,84.78
CMU-TimeSeries,2023-11-25,35.08,0.9,53,20.11,77.72
CMU-TimeSeries,2023-12-02,68.9,0.89,104.7,19.15,76.06
