reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value,mean
2022-10-22,inc hosp,1,2022-10-29,California,quantile,0.025,23,53.7106
2022-10-22,inc hosp,1,2022-10-29,California,quantile,0.25,39,53.7106
2022-10-22,inc hosp,1,2022-10-29,California,quantile,0.5,50,53.7106
2022-10-22,inc hosp,1,2022-10-29,California,quantile,0.75,65,53.7106
2022-10-22,inc hosp,1,2022-10-29,California,quantile,0.975,103,53.7106
2022-10-22,inc hosp,2,2022-11-05,California,quantile,0.025,20,62.1724
2022-10-22,inc hosp,2,2022-11-05,California,quantile,0.25,40,62.1724
2022-10-22,inc hosp,2,2022-11-05,California,quantile,0.5,57,62.1724
2022-10-22,inc hosp,2,2022-11-05,California,quantile,0.75,78,62.1724
2022-10-22,inc hosp,2,2022-11-05,California,quantile,0.975,139,62.1724
2022-10-22,inc hosp,3,2022-11-12,California,quantile,0.025,19,73.1028
2022-10-22,inc hosp,3,2022-11-12,California,quantile,0.25,43,73.1028
2022-10-22,inc hosp,3,2022-11-12,California,quantile,0.5,63,73.1028
2022-10-22,inc hosp,3,2022-11-12,California,quantile,0.75,94,73.1028
2022-10-22,inc hosp,3,2022-11-12,California,quantile,0.975,182,73.1028
2022-10-22,inc hosp,4,2022-11-19,California,quantile,0.025,19,85.499
2022-10-22,inc hosp,4,2022-11-19,California,quantile,0.25,46,85.499
2022-10-22,inc hosp,4,2022-11-19,California,quantile,0.5,71,85.499
2022-10-22,inc hosp,4,2022-11-19,California,quantile,0.75,108,85.499
2022-10-22,inc hosp,4,2022-11-19,California,quantile,0.975,236,85.499
2022-10-22,inc hosp,1,2022-10-29,Colorado,quantile,0.025,60,128.4824
2022-10-22,inc hosp,1,2022-10-29,Colorado,quantile,0.25,95,128.4824
2022-10-22,inc hosp,1,2022-10-29,Colorado,quantile,0.5,121,128.4824
2022-10-22,inc hosp,1,2022-10-29,Colorado,quantile,0.75,153,128.4824
2022-10-22,inc hosp,1,2022-10-29,Colorado,quantile,0.975,241,128.4824
2022-10-22,inc hosp,2,2022-11-05,Colorado,quantile,0.025,49,145.1318
2022-10-22,inc hosp,2,2022-11-05,Colorado,quantile,0.25,93,145.1318
2022-10-22,inc hosp,2,2022-11-05,Colorado,quantile,0.5,130,145.1318
2022-10-22,inc hosp,2,2022-11-05,Colorado,quantile,0.75,179,145.1318
2022-10-22,inc hosp,2,2022-11-05,Colorado,quantile,0.975,329,145.1318
2022-10-22,inc hosp,3,2022-11-12,Colorado,quantile,0.025,46,165.4416
2022-10-22,inc hosp,3,2022-11-12,Colorado,quantile,0.25,96,165.4416
2022-10-22,inc hosp,3,2022-11-12,Colorado,quantile,0.5,141,165.4416
2022-10-22,inc hosp,3,2022-11-12,Colorado,quantile,0.75,206,165.4416
