reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.01,0
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.025,0
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.05,0
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.1,12.988524885248808
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.15,137.9885248852488
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.2,232.53249032490316
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.25,295.67221672216715
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.3,331.0111961119611
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.35,365.850958509585
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.4,399.65102151021506
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.45,424.80861758617584
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.5,443
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.55,463.45077850778506
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.6,488.7279542795427
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.65,523.5910764107641
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.7,556.9885248852488
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.75,592.4921249212491
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.8,662.3633426334267
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.85,763.2786742867427
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.9,972.034236342364
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.95,1110.303136531365
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.975,1205.1389456394568
2022-09-24,1,wk inc hosp,2022-10-01,01,quantile,0.99,1332.550967509674
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.01,0.5661848618486186
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.025,9.20817433174332
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.05,15.963153631536315
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.1,25.36120061200612
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.15,31.307362073620734
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.2,35.39742597425975
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.25,39.029992799927996
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.3,42.47680676806769
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.35,45.05719557195572
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.4,48
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.45,50.71863468634686
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.5,53
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.55,55.040522905229054
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.6,58
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.65,60.87543875438755
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.7,63.49173791737917
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.75,67
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.8,70.81319413194133
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.85,74.90033300333003
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.9,80.69553595535957
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.95,90.01659166591666
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.975,96.92197371973721
2022-09-24,1,wk inc hosp,2022-10-01,02,quantile,0.99,105.74273512735125
2022-09-24,1,wk inc hosp,2022-10-01,04,quantile,0.01,0
2022-09-24,1,wk inc hosp,2022-10-01,04,quantile,0.025,0
2022-09-24,1,wk inc hosp,2022-10-01,04,quantile,0.05,0
2022-09-24,1,wk inc hosp,2022-10-01,04,quantile,0.1,0
2022-09-24,1,wk inc hosp,2022-10-01,04,quantile,0.15,32.376725767257625
2022-09-24,1,wk inc hosp,2022-10-01,04,quantile,0.2,94.18219782197824
2022-09-24,1,wk inc hosp,2022-10-01,04,quantile,0.25,150.37318873188727
2022-09-24,1,wk inc hosp,2022-10-01,04,quantile,0.3,188.97704977049767
2022-09-24,1,wk inc hosp,2022-10-01,04,quantile,0.35,224.390630906309
2022-09-24,1,wk inc hosp,2022-10-01,04,quantile,0.4,256.97249572495724
2022-09-24,1,wk inc hosp,2022-10-01,04,quantile,0.45,287.0440779407794
