reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.01,0
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.025,0
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.05,0
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.1,0
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.15,6
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.2,13
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.25,17.91661416614166
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.3,21.05864958649586
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.35,24
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.4,26.70640706407064
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.45,29
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.5,31
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.55,33.03666486664868
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.6,35.97834178341783
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.65,38
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.7,41
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.75,44.79323043230433
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.8,50
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.85,60.65278252782526
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.9,79.4169551695517
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.95,125.21376163761639
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.975,149.62457474574742
2023-03-04,1,wk inc hosp,2023-03-11,01,quantile,0.99,160.71529145291453
2023-03-04,1,wk inc hosp,2023-03-11,02,quantile,0.01,0
2023-03-04,1,wk inc hosp,2023-03-11,02,quantile,0.025,0
2023-03-04,1,wk inc hosp,2023-03-11,02,quantile,0.05,0
2023-03-04,1,wk inc hosp,2023-03-11,02,quantile,0.1,0
2023-03-04,1,wk inc hosp,2023-03-11,02,quantile,0.15,0
2023-03-04,1,wk inc hosp,2023-03-11,02,quantile,0.2,0
2023-03-04,1,wk inc hosp,2023-03-11,02,quantile,0.25,1
2023-03-04,1,wk inc hosp,2023-03-11,02,quantile,0.3,2
2023-03-04,1,wk inc hosp,2023-03-11,02,quantile,0.35,3
2023-03-04,1,wk inc hosp,2023-03-11,02,quantile,0.4,4
2023-03-04,1,wk inc hosp,2023-03-11,02,quantile,0.45,4.528313783137836
2023-03-04,1,wk inc hosp,2023-03-11,02,quantile,0.5,5
2023-03-04,1,wk inc hosp,2023-03-11,02,quantile,0.55,6
