reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.01,0
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.025,0
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.05,0
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.1,0
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.15,0
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.2,0
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.25,0
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.3,3
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.35,4
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.4,4
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.45,7
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.5,7
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.55,8
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.6,10
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.65,11
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.7,14
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.75,14.084818348183486
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.8,17.012168121681235
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.85,20.92571525715257
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.9,24
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.95,28.3794037940379
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.975,35
2023-04-08,1,wk inc hosp,2023-04-15,06,quantile,0.99,44.72442014420163
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.01,0
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.025,0
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.05,0
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.1,0
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.15,0
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.2,0
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.25,0.7066620666206669
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.3,3
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.35,4.8510120101200815
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.4,6
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.45,9
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.5,9
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.55,11.186642366423666
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.6,12.236174361743611
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.65,15
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.7,17
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.75,20.416831668316696
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.8,24.066460664606687
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.85,31
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.9,45.55809858098572
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.95,63.58137131371309
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.975,76.8449956999569
2023-04-08,1,wk inc hosp,2023-04-15,08,quantile,0.99,104.18185491854939
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.01,0
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.025,0
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.05,0
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.1,0
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.15,0
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.2,0
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.25,0
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.3,0
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.35,0
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.4,0
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.45,0
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.5,0
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.55,1
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.6,1
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.65,2
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.7,2.6489774897748886
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.75,3.2393748937489377
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.8,4
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.85,5
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.9,7
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.95,9.840675906759067
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.975,13.338138131381335
2023-04-08,1,wk inc hosp,2023-04-15,09,quantile,0.99,17
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.01,0
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.025,0
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.05,0
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.1,0
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.15,0
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.2,0
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.25,0
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.3,3
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.35,4
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.4,5
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.45,8
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.5,8
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.55,9
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.6,12
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.65,13
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.7,16
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.75,17
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.8,20.419272192721962
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.85,21.1511175111751
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.9,26
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.95,33
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.975,37.7535945359454
2023-04-08,1,wk inc hosp,2023-04-15,13,quantile,0.99,43
2023-04-08,1,wk inc hosp,2023-04-15,24,quantile,0.01,0
2023-04-08,1,wk inc hosp,2023-04-15,24,quantile,0.025,0
2023-04-08,1,wk inc hosp,2023-04-15,24,quantile,0.05,0
2023-04-08,1,wk inc hosp,2023-04-15,24,quantile,0.1,0
2023-04-08,1,wk inc hosp,2023-04-15,24,quantile,0.15,0
2023-04-08,1,wk inc hosp,2023-04-15,24,quantile,0.2,0
2023-04-08,1,wk inc hosp,2023-04-15,24,quantile,0.25,2
2023-04-08,1,wk inc hosp,2023-04-15,24,quantile,0.3,3
2023-04-08,1,wk inc hosp,2023-04-15,24,quantile,0.35,3
2023-04-08,1,wk inc hosp,2023-04-15,24,quantile,0.4,5
2023-04-08,1,wk inc hosp,2023-04-15,24,quantile,0.45,6
2023-04-08,1,wk inc hosp,2023-04-15,24,quantile,0.5,6
2023-04-08,1,wk inc hosp,2023-04-15,24,quantile,0.55,6
2023-04-08,1,wk inc hosp,2023-04-15,24,quantile,0.6,8
2023-04-08,1,wk inc hosp,2023-04-15,24,quantile,0.65,9
2023-04-08,1,wk inc hosp,2023-04-15,24,quantile,0.7,9
2023-04-08,1,wk inc hosp,2023-04-15,24,quantile,0.75,11
2023-04-08,1,wk inc hosp,2023-04-15,24,quantile,0.8,12
2023-04-08,1,wk inc hosp,2023-04-15,24,quantile,0.85,15
2023-04-08,1,wk inc hosp,2023-04-15,24,quantile,0.9,20
2023-04-08,1,wk inc hosp,2023-04-15,24,quantile,0.95,28.9395503955038
2023-04-08,1,wk inc hosp,2023-04-15,24,quantile,0.975,36.656387813877984
