reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value,mean
2023-04-08,inc hosp,1,2023-04-15,Alabama,quantile,0.025,145,214.9142
2023-04-08,inc hosp,1,2023-04-15,Alabama,quantile,0.25,186,214.9142
2023-04-08,inc hosp,1,2023-04-15,Alabama,quantile,0.5,212,214.9142
2023-04-08,inc hosp,1,2023-04-15,Alabama,quantile,0.75,240,214.9142
2023-04-08,inc hosp,1,2023-04-15,Alabama,quantile,0.975,306,214.9142
2023-04-08,inc hosp,2,2023-04-22,Alabama,quantile,0.025,132,225.9902
2023-04-08,inc hosp,2,2023-04-22,Alabama,quantile,0.25,185,225.9902
2023-04-08,inc hosp,2,2023-04-22,Alabama,quantile,0.5,218,225.9902
2023-04-08,inc hosp,2,2023-04-22,Alabama,quantile,0.75,259,225.9902
2023-04-08,inc hosp,2,2023-04-22,Alabama,quantile,0.975,360,225.9902
2023-04-08,inc hosp,3,2023-04-29,Alabama,quantile,0.025,127,237.7898
2023-04-08,inc hosp,3,2023-04-29,Alabama,quantile,0.25,186,237.7898
2023-04-08,inc hosp,3,2023-04-29,Alabama,quantile,0.5,227,237.7898
2023-04-08,inc hosp,3,2023-04-29,Alabama,quantile,0.75,276,237.7898
2023-04-08,inc hosp,3,2023-04-29,Alabama,quantile,0.975,411,237.7898
2023-04-08,inc hosp,4,2023-05-06,Alabama,quantile,0.025,120,250.1286
2023-04-08,inc hosp,4,2023-05-06,Alabama,quantile,0.25,188,250.1286
2023-04-08,inc hosp,4,2023-05-06,Alabama,quantile,0.5,238,250.1286
2023-04-08,inc hosp,4,2023-05-06,Alabama,quantile,0.75,296,250.1286
2023-04-08,inc hosp,4,2023-05-06,Alabama,quantile,0.975,468,250.1286
2023-04-08,inc hosp,1,2023-04-15,Alaska,quantile,0.025,15,34.8222
2023-04-08,inc hosp,1,2023-04-15,Alaska,quantile,0.25,25,34.8222
2023-04-08,inc hosp,1,2023-04-15,Alaska,quantile,0.5,33,34.8222
2023-04-08,inc hosp,1,2023-04-15,Alaska,quantile,0.75,42,34.8222
2023-04-08,inc hosp,1,2023-04-15,Alaska,quantile,0.975,66,34.8222
