reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.01,151
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.025,162
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.05,172
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.1,185
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.15,194
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.2,201
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.25,207
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.3,213
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.35,219
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.4,224
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.45,230
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.5,236
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.55,242
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.6,248
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.65,255
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.7,261
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.75,268
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.8,277
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.85,288
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.9,301
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.95,321
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.975,338
2023-11-04,inc hosp,1,2023-11-11,Alabama,quantile,0.99,357
2023-11-04,inc hosp,2,2023-11-18,Alabama,quantile,0.01,147
2023-11-04,inc hosp,2,2023-11-18,Alabama,quantile,0.025,161
2023-11-04,inc hosp,2,2023-11-18,Alabama,quantile,0.05,175
2023-11-04,inc hosp,2,2023-11-18,Alabama,quantile,0.1,192
2023-11-04,inc hosp,2,2023-11-18,Alabama,quantile,0.15,204
2023-11-04,inc hosp,2,2023-11-18,Alabama,quantile,0.2,214
2023-11-04,inc hosp,2,2023-11-18,Alabama,quantile,0.25,223
2023-11-04,inc hosp,2,2023-11-18,Alabama,quantile,0.3,232
2023-11-04,inc hosp,2,2023-11-18,Alabama,quantile,0.35,240
2023-11-04,inc hosp,2,2023-11-18,Alabama,quantile,0.4,249
