reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value,mean
2022-12-10,inc hosp,1,2022-12-17,Alabama,quantile,0.025,146,296.92
2022-12-10,inc hosp,1,2022-12-17,Alabama,quantile,0.25,225,296.92
2022-12-10,inc hosp,1,2022-12-17,Alabama,quantile,0.5,280,296.92
2022-12-10,inc hosp,1,2022-12-17,Alabama,quantile,0.75,349,296.92
2022-12-10,inc hosp,1,2022-12-17,Alabama,quantile,0.975,545,296.92
2022-12-10,inc hosp,2,2022-12-24,Alabama,quantile,0.025,125,357.2112
2022-12-10,inc hosp,2,2022-12-24,Alabama,quantile,0.25,238,357.2112
2022-12-10,inc hosp,2,2022-12-24,Alabama,quantile,0.5,325,357.2112
2022-12-10,inc hosp,2,2022-12-24,Alabama,quantile,0.75,437,357.2112
2022-12-10,inc hosp,2,2022-12-24,Alabama,quantile,0.975,770,357.2112
2022-12-10,inc hosp,3,2022-12-31,Alabama,quantile,0.025,114,404.5756
2022-12-10,inc hosp,3,2022-12-31,Alabama,quantile,0.25,237,404.5756
2022-12-10,inc hosp,3,2022-12-31,Alabama,quantile,0.5,350,404.5756
2022-12-10,inc hosp,3,2022-12-31,Alabama,quantile,0.75,505,404.5756
2022-12-10,inc hosp,3,2022-12-31,Alabama,quantile,0.975,1014,404.5756
2022-12-10,inc hosp,4,2023-01-07,Alabama,quantile,0.025,95,416.0008
2022-12-10,inc hosp,4,2023-01-07,Alabama,quantile,0.25,220,416.0008
2022-12-10,inc hosp,4,2023-01-07,Alabama,quantile,0.5,339,416.0008
2022-12-10,inc hosp,4,2023-01-07,Alabama,quantile,0.75,516,416.0008
2022-12-10,inc hosp,4,2023-01-07,Alabama,quantile,0.975,1175,416.0008
2022-12-10,inc hosp,1,2022-12-17,Alaska,quantile,0.025,27,91.8424
2022-12-10,inc hosp,1,2022-12-17,Alaska,quantile,0.25,55,91.8424
2022-12-10,inc hosp,1,2022-12-17,Alaska,quantile,0.5,80,91.8424
2022-12-10,inc hosp,1,2022-12-17,Alaska,quantile,0.75,114,91.8424
2022-12-10,inc hosp,1,2022-12-17,Alaska,quantile,0.975,224,91.8424
2022-12-10,inc hosp,2,2022-12-24,Alaska,quantile,0.025,21,110.8452
2022-12-10,inc hosp,2,2022-12-24,Alaska,quantile,0.25,52,110.8452
2022-12-10,inc hosp,2,2022-12-24,Alaska,quantile,0.5,86,110.8452
2022-12-10,inc hosp,2,2022-12-24,Alaska,quantile,0.75,139,110.8452
2022-12-10,inc hosp,2,2022-12-24,Alaska,quantile,0.975,334,110.8452
