reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.01,57
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.025,63
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.05,69
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.1,78
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.15,85
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.2,90
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.25,95
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.3,99
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.35,103
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.4,108
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.45,113
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.5,117
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.55,122
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.6,126
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.65,131
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.7,137
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.75,142
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.8,150
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.85,159
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.9,171
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.95,191
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.975,209
2024-02-17,inc hosp,1,2024-02-24,Alabama,quantile,0.99,234
2024-02-17,inc hosp,2,2024-03-02,Alabama,quantile,0.01,43
2024-02-17,inc hosp,2,2024-03-02,Alabama,quantile,0.025,51
2024-02-17,inc hosp,2,2024-03-02,Alabama,quantile,0.05,58
2024-02-17,inc hosp,2,2024-03-02,Alabama,quantile,0.1,68
