reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value,location_name,pop_served,population,percentage_participation,unscaled_value
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.01,35,California,3499789.59,38886551,9,388.88888888888886
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.025,41,California,3499789.59,38886551,9,455.5555555555556
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.05,46,California,3499789.59,38886551,9,511.11111111111114
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.1,55,California,3499789.59,38886551,9,611.1111111111112
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.15,61,California,3499789.59,38886551,9,677.7777777777778
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.2,67,California,3499789.59,38886551,9,744.4444444444445
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.25,71,California,3499789.59,38886551,9,788.8888888888889
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.3,76,California,3499789.59,38886551,9,844.4444444444445
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.35,80,California,3499789.59,38886551,9,888.8888888888889
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.4,84,California,3499789.59,38886551,9,933.3333333333334
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.45,90,California,3499789.59,38886551,9,1000
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.5,94,California,3499789.59,38886551,9,1044.4444444444446
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.55,99,California,3499789.59,38886551,9,1100
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.6,104,California,3499789.59,38886551,9,1155.5555555555557
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.65,111,California,3499789.59,38886551,9,1233.3333333333335
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.7,117,California,3499789.59,38886551,9,1300
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.75,124,California,3499789.59,38886551,9,1377.7777777777778
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.8,132,California,3499789.59,38886551,9,1466.6666666666667
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.85,143,California,3499789.59,38886551,9,1588.888888888889
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.9,158,California,3499789.59,38886551,9,1755.5555555555557
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.95,180,California,3499789.59,38886551,9,2000
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.975,201,California,3499789.59,38886551,9,2233.3333333333335
2022-11-19,inc hosp,1,2022-11-26,06,quantile,0.99,228,California,3499789.59,38886551,9,2533.333333333333
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.01,25,California,3499789.59,38886551,9,277.77777777777777
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.025,31,California,3499789.59,38886551,9,344.44444444444446
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.05,37,California,3499789.59,38886551,9,411.11111111111114
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.1,46,California,3499789.59,38886551,9,511.11111111111114
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.15,53,California,3499789.59,38886551,9,588.8888888888889
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.2,59,California,3499789.59,38886551,9,655.5555555555555
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.25,65,California,3499789.59,38886551,9,722.2222222222223
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.3,71,California,3499789.59,38886551,9,788.8888888888889
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.35,77,California,3499789.59,38886551,9,855.5555555555555
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.4,83,California,3499789.59,38886551,9,922.2222222222222
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.45,90,California,3499789.59,38886551,9,1000
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.5,96,California,3499789.59,38886551,9,1066.6666666666667
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.55,104,California,3499789.59,38886551,9,1155.5555555555557
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.6,110,California,3499789.59,38886551,9,1222.2222222222224
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.65,119,California,3499789.59,38886551,9,1322.2222222222222
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.7,127,California,3499789.59,38886551,9,1411.111111111111
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.75,138,California,3499789.59,38886551,9,1533.3333333333335
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.8,151,California,3499789.59,38886551,9,1677.7777777777778
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.85,169,California,3499789.59,38886551,9,1877.7777777777778
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.9,193,California,3499789.59,38886551,9,2144.4444444444443
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.95,231,California,3499789.59,38886551,9,2566.6666666666665
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.975,271,California,3499789.59,38886551,9,3011.1111111111113
2022-11-19,inc hosp,2,2022-12-03,06,quantile,0.99,330,California,3499789.59,38886551,9,3666.666666666667
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.01,18,California,3499789.59,38886551,9,200
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.025,25,California,3499789.59,38886551,9,277.77777777777777
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.05,32,California,3499789.59,38886551,9,355.5555555555556
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.1,41,California,3499789.59,38886551,9,455.5555555555556
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.15,49,California,3499789.59,38886551,9,544.4444444444445
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.2,55,California,3499789.59,38886551,9,611.1111111111112
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.25,61,California,3499789.59,38886551,9,677.7777777777778
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.3,68,California,3499789.59,38886551,9,755.5555555555557
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.35,74,California,3499789.59,38886551,9,822.2222222222223
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.4,81,California,3499789.59,38886551,9,900.0000000000001
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.45,88,California,3499789.59,38886551,9,977.7777777777778
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.5,96,California,3499789.59,38886551,9,1066.6666666666667
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.55,104,California,3499789.59,38886551,9,1155.5555555555557
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.6,114,California,3499789.59,38886551,9,1266.6666666666665
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.65,124,California,3499789.59,38886551,9,1377.7777777777778
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.7,136,California,3499789.59,38886551,9,1511.1111111111113
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.75,150,California,3499789.59,38886551,9,1666.6666666666667
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.8,165,California,3499789.59,38886551,9,1833.3333333333335
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.85,190,California,3499789.59,38886551,9,2111.1111111111113
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.9,225,California,3499789.59,38886551,9,2500.0000000000005
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.95,283,California,3499789.59,38886551,9,3144.4444444444443
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.975,345,California,3499789.59,38886551,9,3833.3333333333335
2022-11-19,inc hosp,3,2022-12-10,06,quantile,0.99,431,California,3499789.59,38886551,9,4788.88888888889
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.01,15,California,3499789.59,38886551,9,166.66666666666666
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.025,21,California,3499789.59,38886551,9,233.33333333333334
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.05,26,California,3499789.59,38886551,9,288.8888888888889
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.1,35,California,3499789.59,38886551,9,388.88888888888886
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.15,43,California,3499789.59,38886551,9,477.77777777777777
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.2,51,California,3499789.59,38886551,9,566.6666666666666
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.25,57,California,3499789.59,38886551,9,633.3333333333333
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.3,65,California,3499789.59,38886551,9,722.2222222222223
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.35,72,California,3499789.59,38886551,9,800
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.4,79,California,3499789.59,38886551,9,877.7777777777778
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.45,87,California,3499789.59,38886551,9,966.6666666666667
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.5,95,California,3499789.59,38886551,9,1055.5555555555557
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.55,105,California,3499789.59,38886551,9,1166.6666666666667
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.6,117,California,3499789.59,38886551,9,1300
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.65,129,California,3499789.59,38886551,9,1433.3333333333335
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.7,143,California,3499789.59,38886551,9,1588.888888888889
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.75,161,California,3499789.59,38886551,9,1788.8888888888891
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.8,182,California,3499789.59,38886551,9,2022.2222222222224
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.85,208,California,3499789.59,38886551,9,2311.1111111111113
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.9,248,California,3499789.59,38886551,9,2755.5555555555557
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.95,338,California,3499789.59,38886551,9,3755.5555555555557
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.975,427,California,3499789.59,38886551,9,4744.444444444444
2022-11-19,inc hosp,4,2022-12-17,06,quantile,0.99,554,California,3499789.59,38886551,9,6155.555555555557
2022-11-19,inc hosp,1,2022-11-26,08,quantile,0.01,116,Colorado,2843836.52,5803748,49,236.73469387755102
2022-11-19,inc hosp,1,2022-11-26,08,quantile,0.025,130,Colorado,2843836.52,5803748,49,265.3061224489796
2022-11-19,inc hosp,1,2022-11-26,08,quantile,0.05,147,Colorado,2843836.52,5803748,49,300
2022-11-19,inc hosp,1,2022-11-26,08,quantile,0.1,172,Colorado,2843836.52,5803748,49,351.0204081632653
2022-11-19,inc hosp,1,2022-11-26,08,quantile,0.15,189,Colorado,2843836.52,5803748,49,385.7142857142857
2022-11-19,inc hosp,1,2022-11-26,08,quantile,0.2,204,Colorado,2843836.52,5803748,49,416.3265306122449
2022-11-19,inc hosp,1,2022-11-26,08,quantile,0.25,218,Colorado,2843836.52,5803748,49,444.8979591836735
2022-11-19,inc hosp,1,2022-11-26,08,quantile,0.3,231,Colorado,2843836.52,5803748,49,471.42857142857144
2022-11-19,inc hosp,1,2022-11-26,08,quantile,0.35,245,Colorado,2843836.52,5803748,49,500
2022-11-19,inc hosp,1,2022-11-26,08,quantile,0.4,259,Colorado,2843836.52,5803748,49,528.5714285714286
