reference_date,target,target_end_date,horizon,location_number,location,output_type,output_type_id,value
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.01,0
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.025,0
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.05,0
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.1,0
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.15,0
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.2,0
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.25,0
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.3,0
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.35,11
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.4,11
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.45,11
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.5,11
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.55,11
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.6,11
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.65,22
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.7,22
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.75,22
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.8,22
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.85,33
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.9,33
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.95,44
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.975,56
2023-05-13,inc hosp,2023-05-20,1,06,California,quantile,0.99,67
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.01,0
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.025,0
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.05,0
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.1,0
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.15,0
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.2,0
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.25,0
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.3,0
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.35,0
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.4,11
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.45,11
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.5,11
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.55,11
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.6,11
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.65,11
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.7,22
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.75,22
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.8,22
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.85,33
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.9,33
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.95,44
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.975,56
2023-05-13,inc hosp,2023-05-27,2,06,California,quantile,0.99,78
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.01,0
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.025,0
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.05,0
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.1,0
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.15,0
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.2,0
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.25,0
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.3,0
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.35,0
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.4,11
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.45,11
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.5,11
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.55,11
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.6,11
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.65,22
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.7,22
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.75,22
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.8,22
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.85,33
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.9,33
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.95,56
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.975,67
2023-05-13,inc hosp,2023-06-03,3,06,California,quantile,0.99,89
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.01,0
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.025,0
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.05,0
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.1,0
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.15,0
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.2,0
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.25,0
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.3,0
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.35,11
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.4,11
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.45,11
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.5,11
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.55,11
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.6,11
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.65,22
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.7,22
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.75,22
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.8,33
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.85,33
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.9,44
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.95,56
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.975,67
2023-05-13,inc hosp,2023-06-10,4,06,California,quantile,0.99,89
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.01,0
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.025,0
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.05,0
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.1,0
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.15,2
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.2,2
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.25,2
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.3,2
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.35,4
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.4,4
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.45,4
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.5,4
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.55,4
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.6,6
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.65,6
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.7,6
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.75,8
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.8,8
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.85,10
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.9,12
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.95,14
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.975,16
2023-05-13,inc hosp,2023-05-20,1,08,Colorado,quantile,0.99,20
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.01,0
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.025,0
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.05,0
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.1,0
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.15,2
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.2,2
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.25,2
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.3,2
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.35,4
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.4,4
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.45,4
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.5,4
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.55,4
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.6,6
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.65,6
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.7,6
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.75,8
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.8,8
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.85,10
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.9,12
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.95,16
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.975,18
2023-05-13,inc hosp,2023-05-27,2,08,Colorado,quantile,0.99,24
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.01,0
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.025,0
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.05,0
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.1,0
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.15,0
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.2,2
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.25,2
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.3,2
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.35,2
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.4,4
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.45,4
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.5,4
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.55,4
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.6,6
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.65,6
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.7,6
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.75,8
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.8,8
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.85,10
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.9,12
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.95,16
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.975,20
2023-05-13,inc hosp,2023-06-03,3,08,Colorado,quantile,0.99,24
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.01,0
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.025,0
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.05,0
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.1,0
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.15,0
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.2,2
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.25,2
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.3,2
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.35,2
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.4,4
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.45,4
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.5,4
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.55,4
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.6,6
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.65,6
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.7,6
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.75,8
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.8,10
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.85,10
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.9,14
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.95,18
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.975,22
2023-05-13,inc hosp,2023-06-10,4,08,Colorado,quantile,0.99,31
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.01,0
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.025,0
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.05,0
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.1,0
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.15,0
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.2,0
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.25,0
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.3,0
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.35,0
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.4,0
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.45,4
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.5,4
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.55,4
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.6,4
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.65,4
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.7,4
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.75,8
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.8,8
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.85,8
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.9,12
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.95,12
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.975,17
2023-05-13,inc hosp,2023-05-20,1,09,Connecticut,quantile,0.99,21
2023-05-13,inc hosp,2023-05-27,2,09,Connecticut,quantile,0.01,0
2023-05-13,inc hosp,2023-05-27,2,09,Connecticut,quantile,0.025,0
2023-05-13,inc hosp,2023-05-27,2,09,Connecticut,quantile,0.05,0
2023-05-13,inc hosp,2023-05-27,2,09,Connecticut,quantile,0.1,0
2023-05-13,inc hosp,2023-05-27,2,09,Connecticut,quantile,0.15,0
2023-05-13,inc hosp,2023-05-27,2,09,Connecticut,quantile,0.2,0
2023-05-13,inc hosp,2023-05-27,2,09,Connecticut,quantile,0.25,0
2023-05-13,inc hosp,2023-05-27,2,09,Connecticut,quantile,0.3,0
2023-05-13,inc hosp,2023-05-27,2,09,Connecticut,quantile,0.35,0
2023-05-13,inc hosp,2023-05-27,2,09,Connecticut,quantile,0.4,0
2023-05-13,inc hosp,2023-05-27,2,09,Connecticut,quantile,0.45,4
2023-05-13,inc hosp,2023-05-27,2,09,Connecticut,quantile,0.5,4
2023-05-13,inc hosp,2023-05-27,2,09,Connecticut,quantile,0.55,4
2023-05-13,inc hosp,2023-05-27,2,09,Connecticut,quantile,0.6,4
2023-05-13,inc hosp,2023-05-27,2,09,Connecticut,quantile,0.65,4
2023-05-13,inc hosp,2023-05-27,2,09,Connecticut,quantile,0.7,4
2023-05-13,inc hosp,2023-05-27,2,09,Connecticut,quantile,0.75,8
2023-05-13,inc hosp,2023-05-27,2,09,Connecticut,quantile,0.8,8
2023-05-13,inc hosp,2023-05-27,2,09,Connecticut,quantile,0.85,8
