location,date,epiweek,epiyear,population,count,weekly_rate
Alabama,2020-10-24,43,2020,5063778,769,15.186289762307906
Alaska,2020-10-24,43,2020,711426,43,6.044198553328104
Arizona,2020-10-24,43,2020,7341018,502,6.838288640621777
Arkansas,2020-10-24,43,2020,3041878,455,14.957864845335678
California,2020-10-24,43,2020,38886551,1744,4.484841044401186
Colorado,2020-10-24,43,2020,5803748,460,7.925912703308276
Connecticut,2020-10-24,43,2020,3621089,167,4.611872284829232
Delaware,2020-10-24,43,2020,1014872,58,5.715006424455498
District of Columbia,2020-10-24,43,2020,668576,63,9.423012492222275
Florida,2020-10-24,43,2020,22183852,1721,7.757895247407889
Georgia,2020-10-24,43,2020,10855454,1416,13.044134312576885
Hawaii,2020-10-24,43,2020,1398977,38,2.7162705319672877
Idaho,2020-10-24,43,2020,1935521,191,9.868144029437035
Illinois,2020-10-24,43,2020,12563096,1393,11.088031166839766
Indiana,2020-10-24,43,2020,6831941,901,13.188052999872218
Iowa,2020-10-24,43,2020,3200224,457,14.280250382473227
Kansas,2020-10-24,43,2020,2916451,435,14.915388600734248
Kentucky,2020-10-24,43,2020,4494379,1068,23.763015980628246
Louisiana,2020-10-24,43,2020,4575074,576,12.589960293538422
Maine,2020-10-24,43,2020,1384543,8,0.577807984295179
Maryland,2020-10-24,43,2020,6133130,319,5.201259389577589
Massachusetts,2020-10-24,43,2020,6978662,309,4.4277828615284704
Michigan,2020-10-24,43,2020,10032075,741,7.386308415756461
Minnesota,2020-10-24,43,2020,5716548,480,8.396675756068172
Mississippi,2020-10-24,43,2020,2927305,457,15.611629126449072
Missouri,2020-10-24,43,2020,6164537,882,14.307643866846773
Montana,2020-10-24,43,2020,1119563,304,27.153451837904612
Nebraska,2020-10-24,43,2020,1961505,280,14.274753314419286
Nevada,2020-10-24,43,2020,3165539,253,7.992319791353069
New Hampshire,2020-10-24,43,2020,1394692,13,0.9321054397673465
New Jersey,2020-10-24,43,2020,9254137,484,5.230093308538657
New Mexico,2020-10-24,43,2020,2100079,241,11.475758769074877
New York,2020-10-24,43,2020,19657190,785,3.9934497250115606
North Carolina,2020-10-24,43,2020,10596562,762,7.191011575263751
North Dakota,2020-10-24,43,2020,772061,196,25.386595100646193
Ohio,2020-10-24,43,2020,11749303,1178,10.02612665619399
Oklahoma,2020-10-24,43,2020,4001266,1040,25.991773603654444
Oregon,2020-10-24,43,2020,4238665,138,3.2557420791687948
Pennsylvania,2020-10-24,43,2020,12969276,753,5.806029573277645
Puerto Rico,2020-10-24,43,2020,3221789,571,17.723072491711903
Rhode Island,2020-10-24,43,2020,1090390,59,5.410908023734627
South Carolina,2020-10-24,43,2020,5246039,364,6.9385683179252
South Dakota,2020-10-24,43,2020,906458,286,31.551379104161473
Tennessee,2020-10-24,43,2020,7030607,884,12.57359428567121
Texas,2020-10-24,43,2020,29914599,3861,12.906741621373564
US,2020-10-24,43,2020,332200066,30762,9.260082446822873
Utah,2020-10-24,43,2020,3376238,242,7.167741136732659
Vermont,2020-10-24,43,2020,646910,2,0.30916201635467067
Virginia,2020-10-24,43,2020,8583866,379,4.4152599772643235
Washington,2020-10-24,43,2020,7735834,153,1.9778087275399137
West Virginia,2020-10-24,43,2020,1774977,149,8.39447497066159
Wisconsin,2020-10-24,43,2020,5891022,1637,27.788047642667095
Wyoming,2020-10-24,43,2020,578583,95,16.419424697925795
Alabama,2020-10-31,44,2020,5063778,1117,22.05862895253307
Alaska,2020-10-31,44,2020,711426,70,9.839392993789938
Arizona,2020-10-31,44,2020,7341018,677,9.22215420259152
Arkansas,2020-10-31,44,2020,3041878,622,20.447894359997346
California,2020-10-31,44,2020,38886551,2527,6.49839066467993
Colorado,2020-10-31,44,2020,5803748,745,12.83653253035797
Connecticut,2020-10-31,44,2020,3621089,298,8.22956850825815
Delaware,2020-10-31,44,2020,1014872,77,7.587163701432299
