location,date,epiweek,season,epiyear,population,pop_served,count,weekly_rate,type
California,2018-10-06,40,2018-19,2018,38886551,3499789.59,0,0,Crude Rate
Colorado,2018-10-06,40,2018-19,2018,5803748,2843836.52,0,0,Crude Rate
Connecticut,2018-10-06,40,2018-19,2018,3621089,869061.36,0,0,Crude Rate
Georgia,2018-10-06,40,2018-19,2018,10855454,4233627.0600000005,17,0.4,Crude Rate
Maryland,2018-10-06,40,2018-19,2018,6133130,2821239.8000000003,3,0.1,Crude Rate
Michigan,2018-10-06,40,2018-19,2018,10032075,1304169.75,5,0.4,Crude Rate
Minnesota,2018-10-06,40,2018-19,2018,5716548,3144101.4000000004,3,0.1,Crude Rate
New Mexico,2018-10-06,40,2018-19,2018,2100079,672025.28,0,0,Crude Rate
New York,2018-10-06,40,2018-19,2018,19657190,1769147.0999999999,0,0,Crude Rate
Oregon,2018-10-06,40,2018-19,2018,4238665,1822625.95,0,0,Crude Rate
Tennessee,2018-10-06,40,2018-19,2018,7030607,1827957.82,2,0.1,Crude Rate
Utah,2018-10-06,40,2018-19,2018,3376238,1215445.68,1,0.1,Crude Rate
California,2018-10-13,41,2018-19,2018,38886551,3499789.59,3,0.1,Crude Rate
Colorado,2018-10-13,41,2018-19,2018,5803748,2843836.52,0,0,Crude Rate
Connecticut,2018-10-13,41,2018-19,2018,3621089,869061.36,2,0.2,Crude Rate
Georgia,2018-10-13,41,2018-19,2018,10855454,4233627.0600000005,25,0.6,Crude Rate
Maryland,2018-10-13,41,2018-19,2018,6133130,2821239.8000000003,3,0.1,Crude Rate
Michigan,2018-10-13,41,2018-19,2018,10032075,1304169.75,0,0,Crude Rate
Minnesota,2018-10-13,41,2018-19,2018,5716548,3144101.4000000004,6,0.2,Crude Rate
New Mexico,2018-10-13,41,2018-19,2018,2100079,672025.28,0,0,Crude Rate
New York,2018-10-13,41,2018-19,2018,19657190,1769147.0999999999,0,0,Crude Rate
Oregon,2018-10-13,41,2018-19,2018,4238665,1822625.95,2,0.1,Crude Rate
Tennessee,2018-10-13,41,2018-19,2018,7030607,1827957.82,9,0.5,Crude Rate
Utah,2018-10-13,41,2018-19,2018,3376238,1215445.68,0,0,Crude Rate
California,2018-10-20,42,2018-19,2018,38886551,3499789.59,3,0.1,Crude Rate
Colorado,2018-10-20,42,2018-19,2018,5803748,2843836.52,0,0,Crude Rate
Connecticut,2018-10-20,42,2018-19,2018,3621089,869061.36,3,0.4,Crude Rate
Georgia,2018-10-20,42,2018-19,2018,10855454,4233627.0600000005,30,0.7,Crude Rate
Maryland,2018-10-20,42,2018-19,2018,6133130,2821239.8000000003,3,0.1,Crude Rate
Michigan,2018-10-20,42,2018-19,2018,10032075,1304169.75,1,0.1,Crude Rate
Minnesota,2018-10-20,42,2018-19,2018,5716548,3144101.4000000004,13,0.4,Crude Rate
New Mexico,2018-10-20,42,2018-19,2018,2100079,672025.28,1,0.1,Crude Rate
New York,2018-10-20,42,2018-19,2018,19657190,1769147.0999999999,2,0.1,Crude Rate
Oregon,2018-10-20,42,2018-19,2018,4238665,1822625.95,2,0.1,Crude Rate
Tennessee,2018-10-20,42,2018-19,2018,7030607,1827957.82,13,0.7,Crude Rate
Utah,2018-10-20,42,2018-19,2018,3376238,1215445.68,0,0,Crude Rate
California,2018-10-27,43,2018-19,2018,38886551,3499789.59,7,0.2,Crude Rate
Colorado,2018-10-27,43,2018-19,2018,5803748,2843836.52,0,0,Crude Rate
Connecticut,2018-10-27,43,2018-19,2018,3621089,869061.36,2,0.2,Crude Rate
Georgia,2018-10-27,43,2018-19,2018,10855454,4233627.0600000005,34,0.8,Crude Rate
Maryland,2018-10-27,43,2018-19,2018,6133130,2821239.8000000003,6,0.2,Crude Rate
Michigan,2018-10-27,43,2018-19,2018,10032075,1304169.75,0,0,Crude Rate
Minnesota,2018-10-27,43,2018-19,2018,5716548,3144101.4000000004,9,0.3,Crude Rate
New Mexico,2018-10-27,43,2018-19,2018,2100079,672025.28,0,0,Crude Rate
New York,2018-10-27,43,2018-19,2018,19657190,1769147.0999999999,0,0,Crude Rate
