model,date,horizon,location,prediction,quantile,disease
2022-09-10,2022-09-17,1,US,NA,0.01,covid
2022-09-10,2022-09-17,1,US,NA,0.025,covid
2022-09-10,2022-09-17,1,US,NA,0.05,covid
2022-09-10,2022-09-17,1,US,NA,0.1,covid
2022-09-10,2022-09-17,1,US,NA,0.15,covid
2022-09-10,2022-09-17,1,US,NA,0.2,covid
2022-09-10,2022-09-17,1,US,NA,0.25,covid
2022-09-10,2022-09-17,1,US,NA,0.3,covid
2022-09-10,2022-09-17,1,US,NA,0.35,covid
2022-09-10,2022-09-17,1,US,NA,0.4,covid
2022-09-10,2022-09-17,1,US,NA,0.45,covid
2022-09-10,2022-09-17,1,US,NA,0.5,covid
2022-09-10,2022-09-17,1,US,NA,0.55,covid
2022-09-10,2022-09-17,1,US,NA,0.6,covid
2022-09-10,2022-09-17,1,US,NA,0.65,covid
2022-09-10,2022-09-17,1,US,NA,0.7,covid
2022-09-10,2022-09-17,1,US,NA,0.75,covid
2022-09-10,2022-09-17,1,US,NA,0.8,covid
2022-09-10,2022-09-17,1,US,NA,0.85,covid
2022-09-10,2022-09-17,1,US,NA,0.9,covid
2022-09-10,2022-09-17,1,US,NA,0.95,covid
2022-09-10,2022-09-17,1,US,NA,0.975,covid
2022-09-10,2022-09-17,1,US,NA,0.99,covid
2022-09-10,2022-09-24,2,US,NA,0.01,covid
2022-09-10,2022-09-24,2,US,NA,0.025,covid
2022-09-10,2022-09-24,2,US,NA,0.05,covid
2022-09-10,2022-09-24,2,US,NA,0.1,covid
2022-09-10,2022-09-24,2,US,NA,0.15,covid
2022-09-10,2022-09-24,2,US,NA,0.2,covid
2022-09-10,2022-09-24,2,US,NA,0.25,covid
2022-09-10,2022-09-24,2,US,NA,0.3,covid
2022-09-10,2022-09-24,2,US,NA,0.35,covid
2022-09-10,2022-09-24,2,US,NA,0.4,covid
2022-09-10,2022-09-24,2,US,NA,0.45,covid
2022-09-10,2022-09-24,2,US,NA,0.5,covid
2022-09-10,2022-09-24,2,US,NA,0.55,covid
2022-09-10,2022-09-24,2,US,NA,0.6,covid
2022-09-10,2022-09-24,2,US,NA,0.65,covid
2022-09-10,2022-09-24,2,US,NA,0.7,covid
2022-09-10,2022-09-24,2,US,NA,0.75,covid
2022-09-10,2022-09-24,2,US,NA,0.8,covid
2022-09-10,2022-09-24,2,US,NA,0.85,covid
2022-09-10,2022-09-24,2,US,NA,0.9,covid
2022-09-10,2022-09-24,2,US,NA,0.95,covid
2022-09-10,2022-09-24,2,US,NA,0.975,covid
2022-09-10,2022-09-24,2,US,NA,0.99,covid
2022-09-10,2022-10-01,3,US,NA,0.01,covid
2022-09-10,2022-10-01,3,US,NA,0.025,covid
2022-09-10,2022-10-01,3,US,NA,0.05,covid
2022-09-10,2022-10-01,3,US,NA,0.1,covid
2022-09-10,2022-10-01,3,US,NA,0.15,covid
2022-09-10,2022-10-01,3,US,NA,0.2,covid
2022-09-10,2022-10-01,3,US,NA,0.25,covid
2022-09-10,2022-10-01,3,US,NA,0.3,covid
2022-09-10,2022-10-01,3,US,NA,0.35,covid
2022-09-10,2022-10-01,3,US,NA,0.4,covid
2022-09-10,2022-10-01,3,US,NA,0.45,covid
2022-09-10,2022-10-01,3,US,NA,0.5,covid
2022-09-10,2022-10-01,3,US,NA,0.55,covid
2022-09-10,2022-10-01,3,US,NA,0.6,covid
2022-09-10,2022-10-01,3,US,NA,0.65,covid
2022-09-10,2022-10-01,3,US,NA,0.7,covid
2022-09-10,2022-10-01,3,US,NA,0.75,covid
2022-09-10,2022-10-01,3,US,NA,0.8,covid
2022-09-10,2022-10-01,3,US,NA,0.85,covid
2022-09-10,2022-10-01,3,US,NA,0.9,covid
2022-09-10,2022-10-01,3,US,NA,0.95,covid
