model,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,coverage_50,coverage_95,relative_skill,scaled_rel_skill,cov_50,cov_95,wis,mae,rel_wis
CADPH-FluCAT_Ensemble,0,80.50821355982347,21.722362997040644,23.59486430741735,35.190986255365466,-0.11192546583850929,-0.14785714285714285,95.48312292120085,0.42857142857142855,0.6428571428571429,0.8944798927470624,0.9847450700100047,42.86,64.29,80.51,95.48,0.98
CADPH-FluCAT_Ensemble,1,167.98921873041238,42.575325194630715,50.48033275889944,74.93356077688222,-0.1146859903381642,-0.2907407407407408,207.85727032353276,0.3703703703703704,0.7037037037037037,1.1596132995669481,1.181455985286833,37.04,70.37,167.99,207.86,1.18
CADPH-FluCAT_Ensemble,2,238.6521907633211,61.08471393928311,80.13106647764849,97.43641034638952,-0.14045088566827693,-0.30481481481481476,286.95743055549,0.3333333333333333,0.7037037037037037,1.2357611363554024,1.216742398835983,33.33,70.37,238.65,286.96,1.22
CADPH-FluCAT_Ensemble,3,320.57391766078104,82.73226987045959,113.29666994234128,124.54497784798022,-0.15779264214046818,-0.27423076923076933,384.799717995844,0.3461538461538461,0.6153846153846155,1.277551262848415,1.253340400452323,34.62,61.54,320.57,384.8,1.25
CMU-TimeSeries,0,21.636447535589394,10.233990368974364,6.527079904478783,4.875377262136259,-0.010101757631822425,-0.09058510638297788,34.08510495108687,0.47416413373860195,0.952127659574468,0.8041838038388718,0.8853368785967295,47.42,95.21,21.64,34.09,0.89
CMU-TimeSeries,1,39.25250256144604,17.25407136736574,12.841135565353943,9.157295628726311,-0.02242956659002776,-0.12707971586424685,62.88643089743388,0.45303867403314807,0.9463299131807424,0.9325686188382104,0.9501346499117737,45.3,94.63,39.25,62.89,0.95
CMU-TimeSeries,2,54.916583433180826,23.191809134382826,21.4660502893512,10.258724009446762,-0.034247436676074564,-0.16452752670501172,86.50543531460026,0.43549712407559565,0.9260476581758428,0.9656152216170255,0.9507541114037257,43.55,92.6,54.92,86.51,0.95
CMU-TimeSeries,3,66.92482115553278,25.100473532522425,33.031446015572165,8.792901607438289,-0.057829803047194484,-0.23574358974358967,103.39942575997468,0.43333333333333185,0.88888888888889,0.9537242253584579,0.9356502062130416,43.33,88.89,66.92,103.4,0.94
CU-ensemble,0,23.353346373056496,8.788219010453254,7.114132178509776,7.450995184093489,-0.015926257176654097,-0.02540809555408081,34.855866622428664,0.5129396151293952,0.88586595885866,0.838665003358615,0.9232976997514877,51.29,88.59,23.35,34.86,0.92
CU-ensemble,1,37.081323824088585,10.422474894047753,13.22578162926204,13.433067300778713,-0.058099506947557375,-0.0259518900343641,54.342305841924386,0.46460481099656487,0.8364261168384898,0.8593352899449735,0.8755218847980024,46.46,83.64,37.08,54.34,0.88
